Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
1,340740197,2004,251000,Manuell,Bensin,Svart,Firehjulsdrift,129,1.8,1295,172,5,Stasjonsvogn,4,7,Personbil,1300,1500
2,340776960,2006,300000,Automat,Diesel,Svart,Forhjulsdrift,150,1.9,1638,189,5,KombiFemdørs,4,13,Personbil,1600,5000
3,340871948,2003,180000,Manuell,Bensin,Svart,Forhjulsdrift,75,1.4,1175,163,5,KombiFemdørs,5,3,Personbil,850,8074
4,340759278,2007,322401,Manuell,Diesel,Grå,Forhjulsdrift,126,2.0,1465,155,5,Stasjonsvogn,5,4,Personbil,1300,6845
5,340727832,2000,451432,Automat,Bensin,Sølv,Firehjulsdrift,218,3.2,2020,330,7,SUVOffroad,5,5,Personbil,2750,11145
6,340558632,2000,138000,Manuell,Bensin,Grønn,Forhjulsdrift,68,1.0,865,137,5,KombiFemdørs,4,5,Personbil,650,7074
7,340564965,2006,220329,Manuell,Diesel,Blå,Forhjulsdrift,109,1.6,1313,129,5,Sedan,4,2,Personbil,1300,9845
8,340518035,2008,380000,Manuell,Diesel,Grå,Firehjulsdrift,140,2.0,1560,178,5,Stasjonsvogn,5,5,Personbil,1600,6345
9,340483491,2007,188000,Manuell,Diesel,Beige,Forhjulsdrift,90,1.2,1255,130,5,KombiFemdørs,5,7,Personbil,1300,9845
10,339358193,2008,215888,Manuell,Diesel,Grå,Forhjulsdrift,109,1.6,1426,140,5,Stasjonsvogn,5,3,Personbil,1300,8845
11,337342176,2004,153889,Manuell,Bensin,Rød,Forhjulsdrift,73,1.4,1005,148,5,KombiFemdørs,5,4,Personbil,1174,9277
12,336183048,2009,248000,Manuell,Bensin,Svart,Forhjulsdrift,80,1.4,1153,164,5,KombiFemdørs,5,2,Personbil,1000,8845
13,326581266,2006,84468,Manuell,Bensin,Svart,Forhjulsdrift,65,1.1,1050,130,5,Annet,4,6,Personbil,700,6999
14,326163471,2007,235774,Manuell,Diesel,Svart,Forhjulsdrift,140,2.0,1600,159,7,Flerbruksbil,5,5,Personbil,1500,9999
15,322624064,2006,282999,Manuell,Diesel,Grå,Forhjulsdrift,90,1.4,1235,128,5,Stasjonsvogn,4,5,Personbil,1000,9999
16,308096688,2008,141519,Manuell,Diesel,Svart,Forhjulsdrift,75,1.2,1160,119,5,KombiFemdørs,5,9,Personbil,1000,6999
17,306412306,2006,199908,Manuell,Diesel,Svart,Forhjulsdrift,105,1.9,1539,162,7,Flerbruksbil,5,2,Personbil,1500,9999
18,341468024,2003,309000,Manuell,Diesel,Grå,Firehjulsdrift,131,1.9,1569,176,5,Stasjonsvogn,5,10,Personbil,1700,14845
19,341465253,2006,188000,Manuell,Bensin,Sølv,Firehjulsdrift,136,2.0,1540,224,5,SUVOffroad,5,2,Personbil,1500,14845
20,340709749,2008,340164,Manuell,Diesel,Grå,Forhjulsdrift,105,1.9,1477,154,5,Stasjonsvogn,5,5,Personbil,1500,9845
21,341371636,2008,282000,Manuell,Diesel,Grå,Forhjulsdrift,140,2.0,1470,149,5,Stasjonsvogn,5,5,Personbil,1600,9845
22,341357496,2008,150000,Manuell,Diesel,Svart,Forhjulsdrift,90,1.6,1355,120,5,KombiFemdørs,4,6,Personbil,1150,9845
23,329575602,2003,413000,Manuell,Diesel,Svart,Forhjulsdrift,131,2.4,1578,171,5,Stasjonsvogn,5,8,Personbil,1800,7777
24,341156032,2005,242300,Manuell,Diesel,Sølv,Forhjulsdrift,109,1.6,1386,127,5,Stasjonsvogn,4,10,Personbil,1300,7845
25,341140308,2001,244000,Manuell,Bensin,Sølv,Forhjulsdrift,110,1.8,1357,185,5,Stasjonsvogn,4,7,Personbil,1450,6345
