id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Hjuldrift,Effekt,Vekt,AntallSeter,Karosseri,AntallDører,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
1,340740197,2004,251000,Manuell,Bensin,Firehjulsdrift,129,1295,5,Stasjonsvogn,4,Personbil,1300,1500
2,340776960,2006,300000,Automat,Diesel,Forhjulsdrift,150,1638,5,KombiFemdørs,4,Personbil,1600,5000
3,340214271,2005,265000,Automat,Diesel,Firehjulsdrift,111,1698,5,SUV,5,Personbil,1600,2845
4,313246835,2009,165000,Manuell,Diesel,Forhjulsdrift,75,1215,2,Kasse,4,Varebil,1000,4686
5,269429344,2006,208000,Automat,Bensin,Forhjulsdrift,158,1625,5,Sedan,5,Personbil,1800,1729
6,190912497,2004,180000,Automat,Bensin,Firehjulsdrift,165,1490,5,SUV,5,Personbil,1600,1707
7,142486773,2007,139000,Manuell,Bensin,Forhjulsdrift,73,1140,4,Flerbruksbil,3,Personbil,987,3118
8,340871948,2003,180000,Manuell,Bensin,Forhjulsdrift,75,1175,5,KombiFemdørs,5,Personbil,850,8074
9,340759278,2007,322401,Manuell,Diesel,Forhjulsdrift,126,1465,5,Stasjonsvogn,5,Personbil,1300,6845
10,340727832,2000,451432,Automat,Bensin,Firehjulsdrift,218,2020,7,SUV,5,Personbil,2750,11145
11,340558632,2000,138000,Manuell,Bensin,Forhjulsdrift,68,865,5,KombiFemdørs,4,Personbil,650,7074
12,340564965,2006,220329,Manuell,Diesel,Forhjulsdrift,109,1313,5,Sedan,4,Personbil,1300,9845
13,340518035,2008,380000,Manuell,Diesel,Firehjulsdrift,140,1560,5,Stasjonsvogn,5,Personbil,1600,6345
14,340483491,2007,188000,Manuell,Diesel,Forhjulsdrift,90,1255,5,KombiFemdørs,5,Personbil,1300,9845
15,340380463,2004,204529,Automat,Bensin,Forhjulsdrift,98,1220,5,Stasjonsvogn,5,Personbil,1200,6845
16,340342876,2006,241912,Manuell,Bensin,Forhjulsdrift,88,1092,5,Flerbruksbil,5,Personbil,945,9989
17,340357009,2006,122128,Manuell,Bensin,Forhjulsdrift,109,1354,5,KombiFemdørs,4,Personbil,1200,7000
18,340180113,2005,332835,Automat,Diesel,Forhjulsdrift,163,1632,5,Sedan,5,Personbil,1800,9845
19,340253341,2004,220000,Manuell,Bensin,Bakhjulsdrift,170,1560,5,Sedan,4,Personbil,1600,9500
20,340231212,2003,295000,Automat,Bensin,Bakhjulsdrift,143,1505,5,Sedan,4,Personbil,1500,8420
21,339929188,1995,144841,Manuell,Bensin,Forhjulsdrift,75,855,5,KombiTredørs,3,Personbil,750,9000
22,339506834,2007,128000,Manuell,Bensin,Forhjulsdrift,88,1149,5,KombiFemdørs,5,Personbil,1150,9845
23,339867607,2007,227000,Manuell,Diesel,Forhjulsdrift,105,1477,5,Stasjonsvogn,5,Personbil,1500,9845
24,339800964,2005,199000,Automat,Diesel,Forhjulsdrift,105,1579,7,Flerbruksbil,5,Personbil,1500,8845
25,339472197,2001,315432,Automat,Bensin,Bakhjulsdrift,163,1495,5,Stasjonsvogn,5,Personbil,1500,7000
26,339358193,2008,215888,Manuell,Diesel,Forhjulsdrift,109,1426,5,Stasjonsvogn,5,Personbil,1300,8845
27,338959118,2004,354556,Automat,Bensin,Firehjulsdrift,184,1645,5,SUV,5,Personbil,1850,9999
28,338628534,2002,295000,Manuell,Bensin,Forhjulsdrift,116,1290,5,Sedan,5,Personbil,1500,10000
29,338516257,2002,261938,Manuell,Diesel,Firehjulsdrift,131,1680,5,Stasjonsvogn,5,Personbil,1800,9900
30,338402367,2002,280000,Manuell,Bensin,Forhjulsdrift,110,1235,5,Stasjonsvogn,5,Personbil,1300,7845
31,338374572,1989,157000,Manuell,Bensin,Forhjulsdrift,79,820,5,KombiFemdørs,5,Personbil,700,8500
32,337342176,2004,153889,Manuell,Bensin,Forhjulsdrift,73,1005,5,KombiFemdørs,5,Personbil,1174,9277
33,337175532,2003,256000,Manuell,Bensin,Firehjulsdrift,124,1440,5,SUV,5,Personbil,1500,8845
34,336590906,2006,315281,Manuell,Diesel,Forhjulsdrift,105,1530,5,Flerbruksbil,5,Personbil,1500,9990
35,336183048,2009,248000,Manuell,Bensin,Forhjulsdrift,80,1153,5,KombiFemdørs,5,Personbil,1000,8845
36,335345437,1992,279611,Manuell,Diesel,Forhjulsdrift,78,1585,2,Kasse,4,Varebil,2590,10000
37,328873302,2005,208000,Manuell,Bensin,Forhjulsdrift,95,1045,5,KombiFemdørs,5,Personbil,750,10000
38,326581266,2006,84468,Manuell,Bensin,Forhjulsdrift,65,1050,5,Annet,4,Personbil,700,6999
39,326163471,2007,235774,Manuell,Diesel,Forhjulsdrift,140,1600,7,Flerbruksbil,5,Personbil,1500,9999
40,322624064,2006,282999,Manuell,Diesel,Forhjulsdrift,90,1235,5,Stasjonsvogn,4,Personbil,1000,9999
41,308096688,2008,141519,Manuell,Diesel,Forhjulsdrift,75,1160,5,KombiFemdørs,5,Personbil,1000,6999
42,338095889,1992,108194,Manuell,Bensin,Forhjulsdrift,57,730,5,KombiTredørs,3,Personbil,1000,15000
43,341438349,2008,183000,Manuell,Diesel,Forhjulsdrift,140,1501,5,Stasjonsvogn,5,Personbil,1800,13845
44,341405253,2008,227800,Manuell,Bensin,Forhjulsdrift,122,1365,5,Sedan,4,Personbil,1400,11845
45,341399036,2008,208988,Manuell,Diesel,Forhjulsdrift,140,1585,5,Stasjonsvogn,5,Personbil,1800,11845
46,341391897,1995,288614,Manuell,Diesel,Forhjulsdrift,77,1735,9,Kasse,4,Personbil,1735,15000
47,340912321,2006,169364,Manuell,Bensin,Forhjulsdrift,116,1377,5,KombiFemdørs,5,Personbil,1500,11845
48,341299974,2005,208500,Manuell,Bensin,Forhjulsdrift,116,1384,5,KombiFemdørs,5,Personbil,1200,15000
49,341288097,2006,206800,Manuell,Bensin,Firehjulsdrift,107,1325,5,Stasjonsvogn,5,Personbil,1200,11845
50,341272866,2004,280000,Manuell,Diesel,Forhjulsdrift,105,1825,3,Kasse,4,Varebil,2200,11231
51,341270123,2005,339000,Manuell,Diesel,Forhjulsdrift,101,1445,5,Stasjonsvogn,5,Personbil,1400,13845
52,341253086,2006,112000,Manuell,Bensin,Forhjulsdrift,98,1240,5,KombiFemdørs,5,Personbil,1300,11845
53,341209806,2005,133500,Manuell,Bensin,Forhjulsdrift,64,1090,5,KombiFemdørs,5,Personbil,750,11845
54,341203941,2006,340000,Manuell,Diesel,Forhjulsdrift,140,1540,5,Sedan,4,Personbil,1600,11845
55,341050438,2001,204122,Manuell,Bensin,Forhjulsdrift,101,1255,5,Sedan,4,Personbil,1150,13845
56,340909672,2006,295054,Manuell,Diesel,Forhjulsdrift,125,1732,7,Flerbruksbil,4,Personbil,1400,13000
57,341155397,2008,166892,Manuell,Diesel,Forhjulsdrift,110,1385,5,KombiFemdørs,5,Personbil,1400,14000
58,341152281,2008,263751,Manuell,Diesel,Forhjulsdrift,109,1411,5,Stasjonsvogn,5,Personbil,1300,13845
59,341146104,2004,172500,Manuell,Bensin,Forhjulsdrift,98,1190,5,Stasjonsvogn,5,Personbil,1200,15000
60,341120830,2003,330000,Automat,Diesel,Bakhjulsdrift,150,1565,5,Sedan,4,Personbil,1900,13000
61,341109762,2008,149000,Manuell,Bensin,Forhjulsdrift,80,957,5,KombiFemdørs,5,Personbil,800,13074
62,331081371,2001,251500,Automat,Bensin,Firehjulsdrift,165,1690,5,Stasjonsvogn,5,Personbil,1840,11777
63,341064397,2008,291420,Manuell,Bensin,Firehjulsdrift,107,1265,5,KombiFemdørs,4,Personbil,1200,10845
64,341008601,1995,380000,Manuell,Diesel,Forhjulsdrift,77,1770,8,Flerbruksbil,4,Personbil,1770,13845
65,340996090,2006,350000,Automat,Diesel,Bakhjulsdrift,170,1735,5,Stasjonsvogn,5,Personbil,2100,13845
66,340998952,2006,243795,Manuell,Bensin,Forhjulsdrift,105,1240,5,Stasjonsvogn,5,Personbil,1100,14845
67,340966839,2000,275000,Manuell,Diesel,Firehjulsdrift,90,1845,3,Kasse,5,Varebil,2000,11231
