Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Årsavgift,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
1,340740197,2004,251000,Manuell,Bensin,0,Svart,Firehjulsdrift,129,1.8,1295,172,5,Stasjonsvogn,4,7,Personbil,1300,1500
2,340776960,2006,300000,Automat,Diesel,0,Svart,Forhjulsdrift,150,1.9,1638,189,5,KombiFemDørs,4,13,Personbil,1600,5000
3,340871948,2003,180000,Manuell,Bensin,3074,Svart,Forhjulsdrift,75,1.4,1175,163,5,KombiFemDørs,5,3,Personbil,850,8074
4,340759278,2007,322401,Manuell,Diesel,1845,Grå,Forhjulsdrift,126,2,1465,155,5,Stasjonsvogn,5,4,Personbil,1300,6845
5,340727832,2000,451432,Automat,Bensin,0,Sølv,Firehjulsdrift,218,3.2,2020,330,7,SUVOffroad,5,5,Personbil,2750,11145
6,340558632,2000,138000,Manuell,Bensin,3074,Grønn,Forhjulsdrift,68,1,865,137,5,KombiFemDørs,4,5,Personbil,650,7074
7,340564965,2006,220329,Manuell,Diesel,1845,Blå,Forhjulsdrift,109,1.6,1313,129,5,Sedan,4,2,Personbil,1300,9845
8,340518035,2008,380000,Manuell,Diesel,1845,Grå,Firehjulsdrift,140,1.3,1560,178,5,Stasjonsvogn,5,5,Personbil,1600,6345
9,340483491,2007,188000,Manuell,Diesel,1845,Beige,Forhjulsdrift,90,1.2,1255,130,5,KombiFemDørs,5,7,Personbil,1300,9845
10,340380463,2004,204529,Automat,Bensin,1845,Rød,Forhjulsdrift,98,1.6,1220,192,5,Stasjonsvogn,5,7,Personbil,1200,6845
11,340342876,2006,241912,Manuell,Bensin,3074,Gull,Forhjulsdrift,88,1.4,1092,150,5,Flerbruksbil,5,6,Personbil,945,9989
12,340180113,2005,332835,Automat,Diesel,1845,Svart,Forhjulsdrift,163,2.4,1632,204,5,Sedan,5,5,Personbil,1800,9845
13,340253341,2004,220000,Manuell,Bensin,0,Blå,Bakhjulsdrift,170,2.2,1560,219,5,Sedan,4,7,Personbil,1600,9500
14,340231212,2003,295000,Automat,Bensin,1845,Sølv,Bakhjulsdrift,143,1.8,1505,195,5,Sedan,4,3,Personbil,1500,8420
15,339867607,2007,227000,Manuell,Diesel,1845,Grå,Forhjulsdrift,105,1.9,1477,153,5,Stasjonsvogn,5,3,Personbil,1500,9845
16,339800964,2005,199000,Automat,Diesel,1845,Svart,Forhjulsdrift,105,1.9,1579,165,7,Flerbruksbil,5,3,Personbil,1500,8845
17,339358193,2008,215888,Manuell,Diesel,1845,Grå,Forhjulsdrift,109,1.6,1426,140,5,Stasjonsvogn,5,3,Personbil,1300,8845
18,337342176,2004,153889,Manuell,Bensin,1777,Rød,Forhjulsdrift,73,1.4,1005,148,5,KombiFemDørs,5,4,Personbil,1174,9277
19,336183048,2009,248000,Manuell,Bensin,1845,Svart,Forhjulsdrift,80,1.4,1153,164,5,KombiFemDørs,5,2,Personbil,1000,8845
20,326581266,2006,84468,Manuell,Bensin,0,Svart,Forhjulsdrift,65,1.1,1050,130,5,Annet,4,6,Personbil,700,6999
21,326163471,2007,235774,Manuell,Diesel,0,Svart,Forhjulsdrift,140,2,1600,159,7,Flerbruksbil,5,5,Personbil,1500,9999
22,322624064,2006,282999,Manuell,Diesel,0,Grå,Forhjulsdrift,90,1.4,1235,128,5,Stasjonsvogn,4,5,Personbil,1000,9999
23,308096688,2008,141519,Manuell,Diesel,0,Svart,Forhjulsdrift,75,1.2,1160,119,5,KombiFemDørs,5,9,Personbil,1000,6999
24,306412306,2006,199908,Manuell,Diesel,0,Svart,Forhjulsdrift,105,1.9,1539,162,7,Flerbruksbil,5,2,Personbil,1500,9999
25,341468024,2003,309000,Manuell,Diesel,1845,Grå,Firehjulsdrift,131,1.9,1569,176,5,Stasjonsvogn,5,10,Personbil,1700,14845
26,341465253,2006,188000,Manuell,Bensin,1845,Sølv,Firehjulsdrift,136,2,1540,224,5,SUVOffroad,5,2,Personbil,1500,14845
27,340709749,2008,340164,Manuell,Diesel,1845,Grå,Forhjulsdrift,105,1.9,1477,154,5,Stasjonsvogn,5,5,Personbil,1500,9845
28,341371636,2008,282000,Manuell,Diesel,1845,Grå,Forhjulsdrift,140,2,1470,149,5,Stasjonsvogn,5,5,Personbil,1600,9845
29,341357496,2008,150000,Manuell,Diesel,1845,Svart,Forhjulsdrift,90,1.6,1355,120,5,KombiFemDørs,4,6,Personbil,1150,9845
