id,Finnkode,Navn,SalePrice,Modellår,Kilometer,Girkasse,Drivstoff
1,341121755,ToyotaRAV4,104305,2014,253871,Manuell,Diesel
2,341121762,PeugeotPartner,179000,2019,30203,Manuell,Diesel
3,341121522,OpelAstra,144800,2017,94300,Manuell,Diesel
4,341121523,MitsubishiOutlander,269900,2017,107000,Automat,El+Bensin
5,340214271,HyundaiTucson,2845,2005,265000,Automat,Diesel
6,313246835,OpelCombo,4686,2009,165000,Manuell,Diesel
7,306287400,ToyotaAvensis,4999,1999,235098,Manuell,Bensin
8,302794306,Mercedes-BenzC-Klasse,4999,2000,199800,Automat,Bensin
9,269429344,Peugeot607,1729,2006,208000,Automat,Bensin
10,191932657,NissanMaxima,1729,2002,422000,Automat,Bensin
11,190912497,NissanX-Trail,1707,2004,180000,Automat,Bensin
12,142486773,Peugeot1007,3118,2007,139000,Manuell,Bensin
13,340845032,VolvoXC60,9499,2023,3643,Automat,El+Bensin
14,340246155,HyundaiGetz,8900,2008,146000,Manuell,Bensin
15,339472197,Mercedes-BenzC-Klasse,7000,2001,315432,Automat,Bensin
16,338637053,FordMondeo,9900,2008,187500,Manuell,Diesel
17,338628534,CitroenC5,10000,2002,295000,Manuell,Bensin
18,338516257,AudiA4,9900,2002,261938,Manuell,Diesel
19,336590906,VolkswagenTouran,9990,2006,315281,Manuell,Diesel
20,336089228,Mercedes-BenzE-Klasse,10000,1982,550000,Manuell,Bensin
21,328873302,SmartForfour,10000,2005,208000,Manuell,Bensin
22,326581266,HyundaiGetz,6999,2006,84468,Manuell,Bensin
23,326163471,VolkswagenTouran,9999,2007,235774,Manuell,Diesel
24,325586826,PeugeotPartner,6186,2006,186000,Manuell,Diesel
25,323307060,VolvoS80,9900,2002,345000,Manuell,Bensin
26,322624064,ToyotaCorolla,9999,2006,282999,Manuell,Diesel
27,317512983,RenaultKangoo,7186,2003,195000,Manuell,Diesel
28,312416240,VolkswagenTouran,9800,2003,302969,Manuell,Diesel
29,308096688,OpelCorsa,6999,2008,141519,Manuell,Diesel
30,306412306,VolkswagenTouran,9999,2006,199908,Manuell,Diesel
31,299261308,SuzukiGrandVitara,10000,2001,220000,Automat,Diesel
32,295670731,VolkswagenTouran,9999,2008,248000,Manuell,Diesel
33,293419507,VolkswagenPolo,6777,2007,350000,Manuell,Diesel
34,340998188,VolkswagenTouran,11231,2006,214000,Automat,Diesel
35,340900791,FordMondeo,13845,2007,299999,Manuell,Diesel
36,340887706,Hyundaii30,11845,2008,255000,Manuell,Diesel
37,340417958,CitroenBerlingo,13000,2010,282000,Manuell,Diesel
38,340843847,OpelVectra,14900,2003,263700,Manuell,Bensin
39,340572987,FordKa,14900,2010,143900,Manuell,Bensin
40,340545801,SubaruImpreza,15000,2007,146300,Manuell,Bensin
41,340344685,FordFiesta,13845,2005,78853,Manuell,Bensin
42,340332504,HondaCivic,12500,2005,213900,Manuell,Bensin
43,340217345,FordFocus,12000,2006,275000,Manuell,Bensin
44,340070645,VolkswagenGolf,12000,2008,214600,Manuell,Diesel
45,339707221,ToyotaYaris,12990,2005,200280,Manuell,Bensin
46,339445237,VolkswagenGolf,14900,2004,181000,Manuell,Diesel
47,339325528,Mazda6,11845,2008,228000,Manuell,Diesel
48,339218905,NissanQashqai,15000,2007,240000,Manuell,Diesel
49,339186258,FordTransitConnect,11231,2006,212000,Manuell,Diesel
50,339173613,SkodaFabia,14900,2008,201600,Manuell,Bensin
51,338668549,VolkswagenGolf,13845,1998,334000,Automat,Diesel
52,338628651,CitroenJumpy,15000,2011,192000,Manuell,Diesel
53,338499955,ToyotaYarisVerso,12000,2002,209876,Manuell,Bensin
54,338487126,SkodaFabia,12000,2008,212421,Manuell,Diesel
55,338409566,OpelVectra,11880,2003,139900,Manuell,Bensin
56,335952689,VolvoS80,12345,2003,246000,Automat,Bensin
57,337370327,ToyotaAygo,13000,2010,273000,Manuell,Bensin
58,337200969,FordS-MAX,15000,2008,218000,Manuell,Diesel
59,335892487,VolvoV70,14845,2003,335000,Manuell,Bensin
60,332526123,MitsubishiColt,13777,2008,200000,Manuell,Bensin
61,330636145,CitroenC1,14900,2006,182000,Manuell,Bensin
62,328749231,ToyotaYaris,11777,2004,108000,Manuell,Bensin
63,327965364,Saab9-3,12000,2004,175000,Manuell,Bensin
64,236024956,ChryslerVoyager,12000,2002,243000,Automat,Bensin
65,325881927,Peugeot407,11277,2004,310000,Manuell,Bensin
66,324810711,SubaruLegacy,11777,2010,246468,Manuell,Diesel
67,323734059,OpelZafira,12000,2000,214000,Manuell,Bensin
68,322623632,NissanSerena,14999,1996,115220,Manuell,Diesel
69,322623878,ToyotaCorolla,11999,2000,215098,Manuell,Bensin
70,321179229,ChryslerGrandVoyager,11186,2000,230000,Automat,Bensin

