Finnkode,car_name,Price,Specifications,Equipment
341120448,Suzuki Grand Vitara,69900,NULL,NULL
341120563,Suzuki SX4 S-Cross,254900,NULL,NULL
341121755,Toyota RAV4,104305,"{""Modell\u00e5r"": ""2014"", ""Kilometer"": ""253 871 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""Airbag foran"", ""Airbag side"", ""Aircondition"", ""Antispinn"", ""Diesel-partikkelfilter"", ""Differensialsperre"", ""Elektriske vinduer"", ""Hengerfeste"", ""Isofix"", ""Klimaanlegg"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Sommerdekk"", ""Startsperre"", ""Takrails"", ""Vinterdekk""]"
341121762,Peugeot Partner,179000,"{""Modell\u00e5r"": ""2019"", ""Kilometer"": ""30 203 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""1350 kg"", ""3-seter"", ""Antispinn (TCS)"", ""Bluetooth"", ""Bluetooth: telefon"", ""DAB"", ""Fartsholder (Cruise control)"", ""Innredning i varerom"", ""Kj\u00f8recomputer"", ""Parkeringssensorer"", ""Sentrall\u00e5s"", ""Skyved\u00f8rer p\u00e5 begge sider"", ""Sommerhjul"", ""Tilhengerfeste"", ""Topphengslet bakluke"", ""Vinterhjul""]"
341121522,Opel Astra,144800,"{""Modell\u00e5r"": ""2017"", ""Kilometer"": ""94 300 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""AEB/lav hastighet"", ""AUX-tilkobling"", ""Aktive hodest\u00f8tter foran"", ""Antispinn"", ""Automatisk tenning hovedlys"", ""Avstandsf\u00f8lere foran og bak"", ""Bakkestartassistent"", ""Bakluke, elektrisk \u00e5pning"", ""Bakseter, delt"", ""Bakseter, nedfellbart"", ""DAB-radio"", ""Dekktrykksoverv\u00e5ker"", ""Ekstravarmer, kj\u00f8revarmer"", ""Elektrisk soltak"", ""Fartsholder med fartsbegrenser"", ""Felger, aluminium"", ""Filskiftvarsler"", ""Frontlys, h\u00f8ydejusterbare"", ""F\u00f8rersete h\u00f8ydejusterbart"", ""F\u00f8rersete korsryggjustering"", ""H\u00f8yttalere, antall: 6"", ""Isofix barnesetefesting"", ""Kj\u00f8rekomputer"", ""Kj\u00f8ret\u00f8ylokalisering"", ""Klimaanlegg, antall soner: 2"", ""Klimaanlegg, automatisk"", ""Kollisjonsputer, antall: 6"", ""Kollisjonsvarsler"", ""LED kj\u00f8relys"", ""Lakkerte st\u00f8tfangere"", ""Lakkerte utvendige speil"", ""Midtarmlene bak"", ""Midtarmlene foran"", ""Mobiltelefoni, Bluetooth"", ""Multifunksjonsratt"", ""M\u00f8rke ruter (Privacy)"", ""Navigasjonssystem"", ""N\u00f8doppringning/eCall"", ""N\u00f8kler, antall: 2"", ""Oppvarmede seter foran, ant.: 2"", ""Piggfrie vinterhjul p\u00e5 alu."", ""Pollenfilter"", ""Ratt, h\u00f8ydejusterbart"", ""Ratt, lengdejusterbart"", ""Ratt, oppvarmet"", ""Ratt, skinn"", ""Regnsensor"", ""Ruter, tonede"", ""Ryggekamera"", ""Seter, helskinn"", ""Seter, sport"", ""Sommerhjul"", ""Speil, elektrisk"", ""Speil, oppvarmet"", ""Stabilitetssystem, antiskrens"", ""Tilhengerstabilitetssystem"", ""Trafikkskiltleser"", ""USB-tilkobling"", ""Utkobling av h\u00f8yre kollisjonspute"", ""Vindusheiser elektriske foran og bak"", ""Vinterhjul""]"
341121523,Mitsubishi Outlander,269900,"{""Modell\u00e5r"": ""2017"", ""Kilometer"": ""107 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""El + Bensin""}","[""Android Auto"", ""Antispinn (TCS)"", ""App-Connect"", ""Apple CarPlay"", ""Blokkeringsfritt bremsesystem (ABS)"", ""Bluetooth"", ""Bryter for utkobling av kollisjonspute"", ""Elektrisk bremseassistent (BA/EBA)"", ""Fartsholder (Cruise control)"", ""Frontkollisjonspute"", ""Frontkollisjonspute: passasjer"", ""Frontkollisjonspute: sj\u00e5f\u00f8r"", ""Hovedskjerm"", ""Hovedskjerm: touchscreen"", ""Isofix: bak"", ""Kj\u00f8recomputer"", ""Medieinnganger: USB"", ""N\u00f8kkelfri (Keyless) \u00e5pning"", ""N\u00f8kkell\u00f8s (Keyless) start"", ""Regnsensorer"", ""Sentrall\u00e5s"", ""Sidekollisjonspute (bryst)"", ""Sotede ruter"", ""Tyverialarm""]"
340214271,Hyundai Tucson,2845,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""265 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel""}",[]
313246835,Opel Combo,4686,"{""Modell\u00e5r"": ""2009"", ""Kilometer"": ""165 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""Hengerfeste""]"
306287400,Toyota Avensis,4999,"{""Modell\u00e5r"": ""1999"", ""Kilometer"": ""235 098 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}",[]
302794306,Mercedes-Benz C-Klasse,4999,"{""Modell\u00e5r"": ""2000"", ""Kilometer"": ""199 800 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin""}",[]
295851273,Audi A6,1777,"{""Modell\u00e5r"": ""2003"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}",[]
269429344,Peugeot 607,1729,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""208 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin""}","[""Her er det mye bra. Starter og g\u00e5r godt."", ""Komplett Peugot 607 selges i deler. Grunnet rust i bunn."", ""PS MOTOR OG  GEAR SOLGT  speil og noen sm\u00e5ting"", ""Ta kontakt hvis du trenger deler til en 607.""]"
191932657,Nissan Maxima,1729,"{""Modell\u00e5r"": ""2002"", ""Kilometer"": ""422 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Beltevarsler"", ""Delskinn"", ""El.vinduer"", ""Lettmet. felg sommer"", ""Radio FM"", ""Sentrall\u00e5s""]"
190912497,Nissan X-Trail,1707,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""180 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Lettmet. felg vinter"", ""Oppvarmede speil"", ""Radio FM"", ""Regulerbart ratt"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinninteri\u00f8r"", ""Skinnseter"", ""fine skjnnseter el""]"
142486773,Peugeot 1007,3118,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""139 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Bagasjeromstrekk / hattehylle""]"
