id,Finnkode,Equipment
1,341121755,"[""ABS-bremser"", ""Airbag foran"", ""Airbag side"", ""Aircondition"", ""Antispinn"", ""Diesel-partikkelfilter"", ""Differensialsperre"", ""Elektriske vinduer"", ""Hengerfeste"", ""Isofix"", ""Klimaanlegg"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Sommerdekk"", ""Startsperre"", ""Takrails"", ""Vinterdekk""]"
2,341121762,"[""1350 kg"", ""3-seter"", ""Antispinn (TCS)"", ""Bluetooth"", ""Bluetooth: telefon"", ""DAB"", ""Fartsholder (Cruise control)"", ""Innredning i varerom"", ""Kj\u00f8recomputer"", ""Parkeringssensorer"", ""Sentrall\u00e5s"", ""Skyved\u00f8rer p\u00e5 begge sider"", ""Sommerhjul"", ""Tilhengerfeste"", ""Topphengslet bakluke"", ""Vinterhjul""]"
3,341121522,"[""AEB/lav hastighet"", ""AUX-tilkobling"", ""Aktive hodest\u00f8tter foran"", ""Antispinn"", ""Automatisk tenning hovedlys"", ""Avstandsf\u00f8lere foran og bak"", ""Bakkestartassistent"", ""Bakluke, elektrisk \u00e5pning"", ""Bakseter, delt"", ""Bakseter, nedfellbart"", ""DAB-radio"", ""Dekktrykksoverv\u00e5ker"", ""Ekstravarmer, kj\u00f8revarmer"", ""Elektrisk soltak"", ""Fartsholder med fartsbegrenser"", ""Felger, aluminium"", ""Filskiftvarsler"", ""Frontlys, h\u00f8ydejusterbare"", ""F\u00f8rersete h\u00f8ydejusterbart"", ""F\u00f8rersete korsryggjustering"", ""H\u00f8yttalere, antall: 6"", ""Isofix barnesetefesting"", ""Kj\u00f8rekomputer"", ""Kj\u00f8ret\u00f8ylokalisering"", ""Klimaanlegg, antall soner: 2"", ""Klimaanlegg, automatisk"", ""Kollisjonsputer, antall: 6"", ""Kollisjonsvarsler"", ""LED kj\u00f8relys"", ""Lakkerte st\u00f8tfangere"", ""Lakkerte utvendige speil"", ""Midtarmlene bak"", ""Midtarmlene foran"", ""Mobiltelefoni, Bluetooth"", ""Multifunksjonsratt"", ""M\u00f8rke ruter (Privacy)"", ""Navigasjonssystem"", ""N\u00f8doppringning/eCall"", ""N\u00f8kler, antall: 2"", ""Oppvarmede seter foran, ant.: 2"", ""Piggfrie vinterhjul p\u00e5 alu."", ""Pollenfilter"", ""Ratt, h\u00f8ydejusterbart"", ""Ratt, lengdejusterbart"", ""Ratt, oppvarmet"", ""Ratt, skinn"", ""Regnsensor"", ""Ruter, tonede"", ""Ryggekamera"", ""Seter, helskinn"", ""Seter, sport"", ""Sommerhjul"", ""Speil, elektrisk"", ""Speil, oppvarmet"", ""Stabilitetssystem, antiskrens"", ""Tilhengerstabilitetssystem"", ""Trafikkskiltleser"", ""USB-tilkobling"", ""Utkobling av h\u00f8yre kollisjonspute"", ""Vindusheiser elektriske foran og bak"", ""Vinterhjul""]"
4,341121523,"[""Android Auto"", ""Antispinn (TCS)"", ""App-Connect"", ""Apple CarPlay"", ""Blokkeringsfritt bremsesystem (ABS)"", ""Bluetooth"", ""Bryter for utkobling av kollisjonspute"", ""Elektrisk bremseassistent (BA/EBA)"", ""Fartsholder (Cruise control)"", ""Frontkollisjonspute"", ""Frontkollisjonspute: passasjer"", ""Frontkollisjonspute: sj\u00e5f\u00f8r"", ""Hovedskjerm"", ""Hovedskjerm: touchscreen"", ""Isofix: bak"", ""Kj\u00f8recomputer"", ""Medieinnganger: USB"", ""N\u00f8kkelfri (Keyless) \u00e5pning"", ""N\u00f8kkell\u00f8s (Keyless) start"", ""Regnsensorer"", ""Sentrall\u00e5s"", ""Sidekollisjonspute (bryst)"", ""Sotede ruter"", ""Tyverialarm""]"
5,340214271,[]
6,313246835,"[""ABS-bremser"", ""Hengerfeste""]"
7,306287400,[]
8,302794306,[]
9,295851273,[]
10,269429344,"[""Her er det mye bra. Starter og g\u00e5r godt."", ""Komplett Peugot 607 selges i deler. Grunnet rust i bunn."", ""PS MOTOR OG  GEAR SOLGT  speil og noen sm\u00e5ting"", ""Ta kontakt hvis du trenger deler til en 607.""]"
11,191932657,"[""ABS-bremser"", ""Beltevarsler"", ""Delskinn"", ""El.vinduer"", ""Lettmet. felg sommer"", ""Radio FM"", ""Sentrall\u00e5s""]"
12,190912497,"[""ABS-bremser"", ""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Lettmet. felg vinter"", ""Oppvarmede speil"", ""Radio FM"", ""Regulerbart ratt"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinninteri\u00f8r"", ""Skinnseter"", ""fine skjnnseter el""]"
13,142486773,"[""ABS-bremser"", ""Airbag foran"", ""Bagasjeromstrekk / hattehylle""]"
14,340845032,"[""AEB/fotgjenger"", ""AEB/lav hastighet"", ""Aktive hodest\u00f8tter foran"", ""Alarm, fabrikkmontert"", ""Antispinn"", ""Automatisk fjernlysdimmer"", ""Automatisk kollisjonsbrems"", ""Automatisk tenning hovedlys"", ""Avstandsf\u00f8lere foran og bak"", ""Bakkenedkj\u00f8ringsassistent"", ""Bakkestartassistent"", ""Bakluke, elektrisk \u00e5pning"", ""Bakseter, delt"", ""Bakseter, nedfellbart"", ""Bakseter, oppvarmet"", ""DAB-radio"", ""Dekktrykksoverv\u00e5ker"", ""Dynamisk lysspredning hovedlys"", ""Ekstravarmer, kj\u00f8revarmer"", ""Elektrisk seteregulering foran"", ""Elektrisk soltak"", ""Fartsholder, dynamisk"", ""Felger, aluminium"", ""Filskiftvarsler"", ""Filskiftvarsler dynamisk"", ""Frontlys, h\u00f8ydejusterbare"", ""F\u00f8rersete h\u00f8ydejusterbart"", ""F\u00f8rersete korsryggjustering"", ""H\u00f8yttalere, antall: 11"", ""Innfellbare speil, elektrisk"", ""Internettilkobling"", ""Isofix barnesetefesting"", ""Kj\u00f8rekomputer"", ""Kj\u00f8ret\u00f8ylokalisering"", ""Klimaanlegg, antall soner: 2"", ""Klimaanlegg, automatisk"", ""Kollisjonsputer, antall: 7"", ""Kollisjonsvarsler"", ""LED hovedlys"", ""LED kj\u00f8relys"", ""Ladekabel"", ""Lakkerte st\u00f8tfangere"", ""Lakkerte utvendige speil"", ""Lyktespylere"", ""Midtarmlene bak"", ""Midtarmlene foran"", ""Mobiltelefon m/stemmestyring"", ""Mobiltelefoni, Bluetooth"", ""Mobiltelefonspeiling"", ""Multifunksjonsratt"", ""Navigasjonssystem"", ""N\u00f8doppringning/eCall"", ""N\u00f8kkelfri l\u00e5s/start"", ""N\u00f8kler, antall: 2"", ""Oppvarmede seter foran, ant.: 2"", ""Panorama glasstak"", ""Parkeringsvarmer m/fjernstyring"", ""Pollenfilter"", ""Ratt, h\u00f8ydejusterbart"", ""Ratt, lengdejusterbart"", ""Ratt, skinn"", ""Regnsensor"", ""Reservehjul"", ""Ruter, tonede"", ""Seter, helskinn"", ""Seter, komfort"", ""Sommerhjul"", ""Speil, elektrisk"", ""Speil, oppvarmet"", ""Stabilitetssystem, antiskrens"", ""Trafikkskiltleser"", ""Tretthetsvarsler"", ""USB-tilkobling"", ""Utforkj\u00f8ringsbeskytter"", ""Utkobling av h\u00f8yre kollisjonspute"", ""Vindusheiser elektriske foran og bak"", ""Vinterhjul""]"
15,340246155,"[""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektrisk soltak"", ""Kj\u00f8recomputer"", ""Lakkerte utvendige speil"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""N\u00f8dbremseforsterker"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Takluke"", ""Turteller"", ""Vinterdekk""]"
