,From,To,Similarity
0,-antispinn,antispinn,1.0
1,anti-spinn,antispinn,1.0
2,• multifunksjonsratt,multifunksjonsratt,1.0
3,- multifunksjonsratt,multifunksjonsratt,1.0
7,m-sport multifunksjonsratt,multifunksjonsratt,0.906
9,-abs-bremser,abs-bremser,1.0
12,• airbag foran,airbag foran,1.0
13,- airbag foran,airbag foran,1.0
14,- elektriske speil,elektriske speil,1.0
15,-elektriske speil,elektriske speil,1.0
16,elektrisk speil,elektriske speil,0.929
19,- el.vinduer,el.vinduer,1.0
20,• el.vinduer,el.vinduer,1.0
21,• oppvarmede seter,oppvarmede seter,1.0
22,- oppvarmede seter,oppvarmede seter,1.0
23,• servostyring,servostyring,1.0
24,- servostyring,servostyring,1.0
25,- kjørecomputer,kjørecomputer,1.0
26,-kjørecomputer,kjørecomputer,1.0
28,med kjørecomputer,kjørecomputer,0.978
29,• sentrallås,sentrallås,1.0
30,- sentrallås,sentrallås,1.0
31,*regnsensor,regnsensor,1.0
32,regnsensor.,regnsensor,1.0
35,anti-skrens,antiskrens,1.0
36,• antiskrens,antiskrens,1.0
37,-navigasjonssystem,navigasjonssystem,1.0
38,- navigasjonssystem,navigasjonssystem,1.0
41,6um navigasjonssystem,navigasjonssystem,0.892
42,3ag ryggekamera,ryggekamera,0.89
43,3 ag ryggekamera,ryggekamera,1.0
44,3ag - ryggekamera,ryggekamera,0.89
46,- metallic lakk,metallic lakk,1.0
50,-parkeringsensor bak,parkeringsensor bak,1.0
53,• parkeringsensor bak,parkeringsensor bak,1.0
54,• startsperre,startsperre,1.0
55,- startsperre,startsperre,1.0
57,.dab+ radio,radio dab+,1.0
59,midtarmlene,midtarmlene,1.0
60,• midtarmlene,midtarmlene,1.0
62,midt armlene,midtarmlene,0.875
63,midtarmlen,midtarmlene,0.953
64,midtarmlenet,midtarmlene,0.939
65,- midt armlene,midtarmlene,0.875
66,-cruisekontroll,cruisekontroll,1.0
67,• cruisekontroll,cruisekontroll,1.0
68,cruisekontrol,cruisekontroll,0.965
70,handsfree opplegg,handsfree opplegg,1.0
71,• handsfree opplegg,handsfree opplegg,1.0
72,hands free opplegg,handsfree opplegg,0.87
75,• parkeringsensor foran,parkeringsensor foran,1.0
78,-parkeringsensor foran,parkeringsensor foran,1.0
80,r01 sommerdekk,sommerdekk,0.857
81,"19"" sommerdekk",sommerdekk,1.0
82,bra sommerdekk,sommerdekk,0.939
83,beltevarsler,beltevarsler,1.0
84,- beltevarsler,beltevarsler,1.0
87,cd-spiller,cd-spiller,1.0
88,• cd-spiller,cd-spiller,1.0
90,- air conditioner,air condition,0.903
91,- air condition,air condition,1.0
92,• air condition,air condition,1.0
93,air conditioner,air condition,0.903
94,• diesel-partikkelfilter,diesel-partikkelfilter,1.0
95,- diesel-partikkelfilter,diesel-partikkelfilter,1.0
97,sentrallås fjernstyrt,fjernstyrt sentrallås,1.0
98,pollenfilter,pollenfilter,1.0
99,• pollenfilter,pollenfilter,1.0
101,- alarm,alarm,1.0
102,-alarm,alarm,1.0
103,-skinnratt,skinnratt,1.0
104,m skinnratt,skinnratt,1.0
105,lakkerte utvendige speil,lakkerte utvendige speil,1.0
106,• lakkerte utvendige speil,lakkerte utvendige speil,1.0
107,sideairbager,sideairbager,1.0
108,• sideairbager,sideairbager,1.0
109,sideairbager bak,sideairbager,0.975
110,aux-inngang,aux-inngang,1.0
111,• aux-inngang,aux-inngang,1.0
112,elektrisk sete u.memory,elektrisk sete m. memory,0.941
113,• elektrisk sete u. memory,elektrisk sete m. memory,1.0
114,elektrisk sete u/memory,elektrisk sete m. memory,0.941
115,• skinnseter,skinnseter,1.0
116,skinnseter.,skinnseter,1.0
233,"oppvarmede seter foran, ant.: 4",oppvarmede seter,0.863
234,"oppvarmede seter foran, ant.",oppvarmede seter,0.863
237,stor kjørecomputer plus,kjørecomputer,0.871
