Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
340740197,2004,251 000 km,Manuell,Bensin,Fritatt (avgifter),20.10.2004,Svart,Firehjulsdrift,129 Hk,1.8 l,1 295 kg,172 g/km,5,Stasjonsvogn,4,7,Norge,Bruktbil til salgs,Personbil,ST96176,SB1ER56L90E093859,1 300 kg
340776960,2006,300 000 km,Automat,Diesel,Fritatt (avgifter),14.08.2006,Svart,Forhjulsdrift,150 Hk,1.9 l,1 638 kg,189 g/km,5,Kombi 5-dørs,4,13,Norge,Bruktbil til salgs,Personbil,RJ60433,W0L0ZCF4861004832,1 600 kg
340871948,2003,180 000 km,Manuell,Bensin,3 074 kr (avgifter),25.08.2003,Svart,Forhjulsdrift,75 Hk,1.4 l,1 175 kg,163 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,FT10221,TMBCC21U332807249,850 kg
340759278,2007,322 401 km,Manuell,Diesel,1 845 kr (avgifter),22.10.2007,Grå,Forhjulsdrift,126 Hk,2 l,1 465 kg,155 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,FT24171,SB1ED56L60E057920,1 300 kg
340727832,2000,451 432 km,Automat,Bensin,Fritatt (avgifter),19.01.2000,Sølv,Firehjulsdrift,218 Hk,3.2 l,2 020 kg,330 g/km,7,SUV/Offroad,5,5,Norge,Bruktbil til salgs,Personbil,DJ77967,WDC1631541X707953,2 750 kg
340558632,2000,138 000 km,Manuell,Bensin,3 074 kr (avgifter),04.07.2000,Grønn,Forhjulsdrift,68 Hk,1 l,865 kg,137 g/km,5,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,ST43922,JTDKV123900171532,650 kg
340564965,2006,220 329 km,Manuell,Diesel,1 845 kr (avgifter),29.03.2006,Blå,Forhjulsdrift,109 Hk,1.6 l,1 313 kg,129 g/km,5,Sedan,4,2,Norge,Bruktbil til salgs,Personbil,RJ55113,YV1MS763262185052,1 300 kg
340518035,2008,380 000 km,Manuell,Diesel,1 845 kr (avgifter),10.01.2008,Grå,Firehjulsdrift,140 Hk,2 l,1 560 kg,178 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,JD48685,WAUZZZ8E08A119199,1 600 kg
340483491,2007,188 000 km,Manuell,Diesel,1 845 kr (avgifter),12.04.2007,Beige,Forhjulsdrift,90 Hk,1.2 l,1 255 kg,130 g/km,5,Kombi 5-dørs,5,7,Norge,Bruktbil til salgs,Personbil,ZH21230,W0L0AHL4872084495,1 300 kg
340380463,2004,204 529 km,Automat,Bensin,1 845 kr (avgifter),06.07.2004,Rød,Forhjulsdrift,98 Hk,1.6 l,1 220 kg,192 g/km,5,Stasjonsvogn,5,7,Norge,Bruktbil til salgs,Personbil,DK83365,XMCLRDG3A4F029628,1 200 kg
340342876,2006,241 912 km,Manuell,Bensin,3 074 kr (avgifter),06.04.2006,Gull,Forhjulsdrift,88 Hk,1.4 l,1 092 kg,150 g/km,5,Flerbruksbil,5,6,Norge,Bruktbil til salgs,Personbil,VF76774,SJNFAAE11U1004750,945 kg
340180113,2005,332 835 km,Automat,Diesel,1 845 kr (avgifter),17.11.2004,Svart,Forhjulsdrift,163 Hk,2.4 l,1 632 kg,204 g/km,5,Sedan,5,5,Norge,Bruktbil til salgs,Personbil,KT67835,YV1TS796951399510,1 800 kg
340253341,2004,220 000 km,Manuell,Bensin,Fritatt (avgifter),05.02.2004,Blå,Bakhjulsdrift,170 Hk,2.2 l,1 560 kg,219 g/km,5,Sedan,4,7,Norge,Bruktbil til salgs,Personbil,BP88454,WBANA31000B007423,1 600 kg
340231212,2003,295 000 km,Automat,Bensin,1 845 kr (avgifter),20.09.2023,Sølv,Bakhjulsdrift,143 Hk,1.8 l,1 505 kg,195 g/km,5,Sedan,4,3,Norge,Bruktbil til salgs,Personbil,RL65345,WDB2030461F453549,1 500 kg
339867607,2007,227 000 km,Manuell,Diesel,1 845 kr (avgifter),05.03.2007,Grå,Forhjulsdrift,105 Hk,1.9 l,1 477 kg,153 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,DL59475,WVWZZZ3CZ7E173742,1 500 kg
339800964,2005,199 000 km,Automat,Diesel,1 845 kr (avgifter),30.09.2004,Svart,Forhjulsdrift,105 Hk,1.9 l,1 579 kg,165 g/km,7,Flerbruksbil,5,3,Norge,Bruktbil til salgs,Personbil,DK89159,WVGZZZ1TZ5W051030,1 500 kg
339358193,2008,215 888 km,Manuell,Diesel,1 845 kr (avgifter),18.07.2008,Grå,Forhjulsdrift,109 Hk,1.6 l,1 426 kg,140 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,PP78494,VF36E9HZC21700477,1 300 kg
337342176,2004,153 889 km,Manuell,Bensin,1 777 kr (avgifter),02.04.2004,Rød,Forhjulsdrift,73 Hk,1.4 l,1 005 kg,148 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,BP90613,VF7FCKFVB26917426,1 174 kg
336183048,2009,248 000 km,Manuell,Bensin,1 845 kr (avgifter),01.08.2008,Svart,Forhjulsdrift,80 Hk,1.4 l,1 153 kg,164 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,SU65922,WVWZZZ1KZ9W047978,1 000 kg
326581266,2006,84 468 km,Manuell,Bensin,Fritatt (avgifter),23.05.2006,Svart,Forhjulsdrift,65 Hk,1.1 l,1 050 kg,130 g/km,5,Annet,4,6,Norge,Bruktbil til salgs,Personbil,BR30413,KMHBT51GP6U543936,700 kg
326163471,2007,235 774 km,Manuell,Diesel,Fritatt (avgifter),27.04.2007,Svart,Forhjulsdrift,140 Hk,2 l,1 600 kg,159 g/km,7,Flerbruksbil,5,5,Norge,Bruktbil til salgs,Personbil,SD36816,WVGZZZ1TZ7W072475,1 500 kg
322624064,2006,282 999 km,Manuell,Diesel,Fritatt (avgifter),16.10.2006,Grå,Forhjulsdrift,90 Hk,1.4 l,1 235 kg,128 g/km,5,Stasjonsvogn,4,5,Norge,Bruktbil til salgs,Personbil,TV73562,NMTEC20E70R032251,1 000 kg
308096688,2008,141 519 km,Manuell,Diesel,Fritatt (avgifter),08.05.2008,Svart,Forhjulsdrift,75 Hk,1.2 l,1 160 kg,119 g/km,5,Kombi 5-dørs,5,9,Norge,Bruktbil til salgs,Personbil,SU61931,W0L0SDL6884319154,1 000 kg
306412306,2006,199 908 km,Manuell,Diesel,Fritatt (avgifter),21.07.2005,Svart,Forhjulsdrift,105 Hk,1.9 l,1 539 kg,162 g/km,7,Flerbruksbil,5,2,Norge,Bruktbil til salgs,Personbil,TV71648,WVGZZZ1TZ6W012711,1 500 kg
341468024,2003,309 000 km,Manuell,Diesel,1 845 kr (avgifter),09.08.2002,Grå,Firehjulsdrift,131 Hk,1.9 l,1 569 kg,176 g/km,5,Stasjonsvogn,5,10,Norge,Bruktbil til salgs,Personbil,BP73303,WVWZZZ3BZ3E081443,1 700 kg
341465253,2006,188 000 km,Manuell,Bensin,1 845 kr (avgifter),17.10.2006,Sølv,Firehjulsdrift,136 Hk,2 l,1 540 kg,224 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,KH44128,JMBXNCU2W6U006163,1 500 kg
340709749,2008,340 164 km,Manuell,Diesel,1 845 kr (avgifter),20.07.2007,Grå,Forhjulsdrift,105 Hk,1.9 l,1 477 kg,154 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,RJ74197,WVWZZZ3CZ8E023226,1 500 kg
341371636,2008,282 000 km,Manuell,Diesel,1 845 kr (avgifter),23.07.2008,Grå,Forhjulsdrift,140 Hk,2 l,1 470 kg,149 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,HS94602,JMZGH19D601157826,1 600 kg
341357496,2008,150 000 km,Manuell,Diesel,1 845 kr (avgifter),06.04.2022,Svart,Forhjulsdrift,90 Hk,1.6 l,1 355 kg,120 g/km,5,Kombi 5-dørs,4,6,Norge,Bruktbil til salgs,Personbil,AE63336,VF3WC9HXC34101357,1 150 kg
329575602,2003,413 000 km,Manuell,Diesel,1 777 kr (avgifter),06.02.2007,Svart,Forhjulsdrift,131 Hk,2.4 l,1 578 kg,171 g/km,5,Stasjonsvogn,5,8,Norge,Bruktbil til salgs,Personbil,RJ67187,YV1SW743232322292,1 800 kg
341156032,2005,242 300 km,Manuell,Diesel,1 845 kr (avgifter),03.06.2005,Sølv,Forhjulsdrift,109 Hk,1.6 l,1 386 kg,127 g/km,5,Stasjonsvogn,4,10,Norge,Bruktbil til salgs,Personbil,VF69995,WF0WXXGCDW5B71682,1 300 kg
341140308,2001,244 000 km,Manuell,Bensin,1 845 kr (avgifter),09.05.2001,Sølv,Forhjulsdrift,110 Hk,1.8 l,1 357 kg,185 g/km,5,Stasjonsvogn,4,7,Norge,Bruktbil til salgs,Personbil,BD26015,WF0WXXGBBW1M72614,1 450 kg
339212346,2000,280 000 km,Manuell,Bensin,1 845 kr (avgifter),27.07.2000,Sølv,Forhjulsdrift,131 Hk,2 l,1 320 kg,217 g/km,5,Kombi 5-dørs,5,5,Norge,Bruktbil til salgs,Personbil,VF36725,YS3DD55J3Y2047178,1 600 kg
340773696,2007,278 000 km,Manuell,Diesel,1 845 kr (avgifter),16.02.2007,Grå,Forhjulsdrift,105 Hk,1.9 l,1 395 kg,143 g/km,5,Flerbruksbil,5,7,Norge,Bruktbil til salgs,Personbil,ZP42786,WVWZZZ1KZ7W566625,1 400 kg
341438349,2008,183 000 km,Manuell,Diesel,1 845 kr (avgifter),29.02.2008,Svart,Forhjulsdrift,140 Hk,2 l,1 501 kg,156 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,KH55152,WF0GXXGBBG8B17548,1 800 kg
341405253,2008,227 800 km,Manuell,Bensin,1 845 kr (avgifter),04.10.2007,Svart,Forhjulsdrift,122 Hk,1.8 l,1 365 kg,183 g/km,5,Sedan,4,6,Norge,Bruktbil til salgs,Personbil,JD47605,YS3FF45B381012071,1 400 kg
341399036,2008,208 988 km,Manuell,Diesel,1 845 kr (avgifter),12.12.2007,Svart,Forhjulsdrift,140 Hk,2 l,1 585 kg,158 g/km,5,Stasjonsvogn,5,11,Norge,Bruktbil til salgs,Personbil,KH54157,WVWZZZ3CZ8E131450,1 800 kg
340912321,2006,169 364 km,Manuell,Bensin,1 845 kr (avgifter),28.04.2006,Grå,Forhjulsdrift,116 Hk,1.7 l,1 377 kg,187 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,HB65929,VF7RC6FZB76707680,1 500 kg
341288097,2006,2 068 000 km,Manuell,Bensin,1 845 kr (avgifter),08.08.2006,Rød,Firehjulsdrift,107 Hk,1.6 l,1 325 kg,179 g/km,5,Stasjonsvogn,5,6,Norge,Bruktbil til salgs,Personbil,VX31315,JSAERD31S00351982,1 200 kg
341270123,2005,339 000 km,Manuell,Diesel,1 845 kr (avgifter),05.04.2005,Blå,Forhjulsdrift,101 Hk,1.9 l,1 445 kg,151 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,PX45986,WVWZZZ3BZ5E151195,1 400 kg
341209806,2005,133 500 km,Manuell,Bensin,1 845 kr (avgifter),18.02.2005,Sølv,Forhjulsdrift,64 Hk,1.2 l,1 090 kg,144 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,SU11463,TMBHY26Y754276969,750 kg
341203941,2006,340 000 km,Manuell,Diesel,1 845 kr (avgifter),24.10.2007,Sølv,Forhjulsdrift,140 Hk,2 l,1 540 kg,174 g/km,5,Sedan,4,10,Norge,Bruktbil til salgs,Personbil,AE19435,WAUZZZ4F56N176762,1 600 kg
341050438,2001,204 122 km,Manuell,Bensin,1 845 kr (avgifter),01.02.2002,Grønn,Forhjulsdrift,101 Hk,1.6 l,1 255 kg,243 g/km,5,Sedan,4,7,Norge,Bruktbil til salgs,Personbil,XN27072,W0L0JBF1911201095,1 150 kg
340909672,2006,295 054 km,Manuell,Diesel,Fritatt (avgifter),22.02.2010,Sølv,Forhjulsdrift,125 Hk,1.8 l,1 732 kg,166 g/km,7,Flerbruksbil,4,4,Norge,Bruktbil til salgs,Personbil,BR88718,WF0MXXGBWM6A59525,1 400 kg
341152281,2008,263 751 km,Manuell,Diesel,1 845 kr (avgifter),09.08.2007,Gul,Forhjulsdrift,109 Hk,1.6 l,1 411 kg,132 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,PD24622,YV1MW765282373550,1 300 kg
341120830,2003,330 000 km,Automat,Diesel,Fritatt (avgifter),16.08.2006,Svart,Bakhjulsdrift,150 Hk,2.1 l,1 565 kg,177 g/km,5,Sedan,4,7,Norge,Bruktbil til salgs,Personbil,DL43586,WDB2110061A314361,1 900 kg
341109762,2008,149 000 km,Manuell,Bensin,3 074 kr (avgifter),29.04.2008,Rød,Forhjulsdrift,80 Hk,1.2 l,957 kg,139 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,DL89714,SJNFBAK12U3041553,800 kg
331081371,2001,251 500 km,Automat,Bensin,1 777 kr (avgifter),10.08.2000,Grå,Firehjulsdrift,165 Hk,2.4 l,1 690 kg,271 g/km,5,Stasjonsvogn,5,7,Norge,Bruktbil til salgs,Personbil,KT59300,WAUZZZ4BZ1N029651,1 840 kg
341064397,2008,291 420 km,Manuell,Bensin,1 845 kr (avgifter),03.10.2008,Grå,Firehjulsdrift,107 Hk,1.6 l,1 265 kg,164 g/km,5,Kombi 5-dørs,4,4,Norge,Bruktbil til salgs,Personbil,TV77288,TSMEYB21S00347430,1 200 kg
340996090,2006,350 000 km,Automat,Diesel,1 845 kr (avgifter),11.10.2007,Grå,Bakhjulsdrift,170 Hk,2.1 l,1 735 kg,194 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,DL75329,WDB2112081A995516,2 100 kg
340998952,2006,243 795 km,Manuell,Bensin,1 845 kr (avgifter),08.01.2007,Grå,Forhjulsdrift,105 Hk,1.6 l,1 240 kg,161 g/km,5,Stasjonsvogn,5,7,Norge,Bruktbil til salgs,Personbil,DL56014,W0L0AHL3565228532,1 100 kg
340932421,2002,317 000 km,Manuell,Bensin,1 845 kr (avgifter),27.11.2001,Blå,Forhjulsdrift,105 Hk,1.6 l,1 215 kg,168 g/km,5,Sedan,4,6,Norge,Bruktbil til salgs,Personbil,DK32344,WVWZZZ1JZ2W364363,1 200 kg
340913122,2007,179 000 km,Manuell,Diesel,1 845 kr (avgifter),09.08.2007,Svart,Forhjulsdrift,136 Hk,2 l,1 505 kg,155 g/km,5,Sedan,4,5,Norge,Bruktbil til salgs,Personbil,SU48804,VF36DRHRH21658315,1 900 kg
340895717,2004,188 000 km,Manuell,Diesel,1 845 kr (avgifter),29.03.2004,Sølv,Forhjulsdrift,101 Hk,1.9 l,1 639 kg,162 g/km,5,Flerbruksbil,5,5,Norge,Bruktbil til salgs,Personbil,KH27294,WVGZZZ1TZ4W142629,1 500 kg
340896181,1999,220 000 km,Manuell,Bensin,3 074 kr (avgifter),11.03.1999,Blå,Forhjulsdrift,101 Hk,1.6 l,1 162 kg,185 g/km,5,Sedan,4,3,Norge,Bruktbil til salgs,Personbil,UX44929,WVWZZZ1JZXW498923,1 200 kg
340782840,2008,257 000 km,Manuell,Diesel,1 845 kr (avgifter),31.07.2008,Svart,Forhjulsdrift,140 Hk,2 l,1 470 kg,149 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,UF39419,JMZGH19D601164633,1 600 kg
340881157,2007,238 629 km,Automat,Diesel,1 845 kr (avgifter),27.04.2010,Svart,Forhjulsdrift,109 Hk,2 l,1 305 kg,142 g/km,5,Flerbruksbil,4,3,Norge,Bruktbil til salgs,Personbil,SU86831,WDD1690071J467921,1 500 kg
340883848,2011,200 000 km,Manuell,Diesel,1 231 kr (avgifter),16.09.2011,Grå,Forhjulsdrift,111 Hk,1.6 l,1 615 kg,139 g/km,2,Kasse,4,5,Norge,Bruktbil til salgs,Varebil,BD72503,VF37J9HL0AJ877695,1 300 kg
340829486,2007,213 000 km,Manuell,Bensin,1 845 kr (avgifter),29.09.2006,Svart,Forhjulsdrift,102 Hk,1.6 l,1 208 kg,178 g/km,5,Kombi 5-dørs,5,6,Norge,Bruktbil til salgs,Personbil,BD50201,WVWZZZ1KZ7W036285,1 200 kg
340805035,2006,198 000 km,Manuell,Bensin,1 845 kr (avgifter),04.11.2005,Sølv,Forhjulsdrift,170 Hk,2 l,1 717 kg,194 g/km,5,Sedan,4,9,Norge,Bruktbil til salgs,Personbil,FT17185,WAUZZZ4F76N088151,1 400 kg
340743831,2004,228 036 km,Manuell,Bensin,1 845 kr (avgifter),03.05.2004,Svart,Forhjulsdrift,116 Hk,1.6 l,1 355 kg,158 g/km,5,Stasjonsvogn,4,6,Norge,Bruktbil til salgs,Personbil,BP91371,WVWZZZ1KZ4W010655,1 200 kg
340521678,2004,235 000 km,Manuell,Bensin,1 845 kr (avgifter),07.08.2003,Beige,Forhjulsdrift,102 Hk,1.6 l,1 354 kg,192 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,VX28425,WVWZZZ3BZ4E020001,1 200 kg
340600507,2007,198 000 km,Manuell,Diesel,1 231 kr (avgifter),10.07.2007,Sølv,Forhjulsdrift,90 Hk,1.8 l,1 575 kg,174 g/km,2,Kasse,3,9,Norge,Bruktbil til salgs,Varebil,RJ72777,WF0UXXTTPU7L72859,1 200 kg
340557446,2009,352 000 km,Automat,Diesel,1 845 kr (avgifter),21.07.2009,Rød,Forhjulsdrift,140 Hk,2 l,1 597 kg,187 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,AJ68874,WF0GXXGBBG9R08373,2 000 kg
333797999,2007,177 000 km,Manuell,Diesel,1 186 kr (avgifter),13.02.2008,Hvit,Forhjulsdrift,75 Hk,1.8 l,1 575 kg,171 g/km,2,Kasse,4,8,Norge,Bruktbil til salgs,Varebil,TF23960,WF0UXXTTPU7P61458,1 200 kg
