,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
0,340740197,2004,251 000 km,Manuell,Bensin,Fritatt (avgifter),20.10.2004,Firehjulsdrift,129 Hk,1 295 kg,5,Stasjonsvogn,4,Bruktbil til salgs,Personbil,1 300 kg
2,340776960,2006,300 000 km,Automat,Diesel,Fritatt (avgifter),14.08.2006,Forhjulsdrift,150 Hk,1 638 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 600 kg
3,340214271,2005,265 000 km,Automat,Diesel,1 845 kr (avgifter),13.06.2005,Firehjulsdrift,111 Hk,1 698 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 600 kg
6,313246835,2009,165 000 km,Manuell,Diesel,1 186 kr (avgifter),17.09.2009,Forhjulsdrift,75 Hk,1 215 kg,2,Kasse,4,Bruktbil til salgs,Varebil,1 000 kg
9,269429344,2006,208 000 km,Automat,Bensin,1 729 kr (avgifter),22.02.2006,Forhjulsdrift,158 Hk,1 625 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 800 kg
11,190912497,2004,180 000 km,Automat,Bensin,1 707 kr (avgifter),23.06.2004,Firehjulsdrift,165 Hk,1 490 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 600 kg
12,142486773,2007,139 000 km,Manuell,Bensin,1 618 kr (avgifter),16.01.2007,Forhjulsdrift,73 Hk,1 140 kg,4,Flerbruksbil,3,Bruktbil til salgs,Personbil,987 kg
15,340871948,2003,180 000 km,Manuell,Bensin,3 074 kr (avgifter),25.08.2003,Forhjulsdrift,75 Hk,1 175 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,850 kg
16,340759278,2007,322 401 km,Manuell,Diesel,1 845 kr (avgifter),22.10.2007,Forhjulsdrift,126 Hk,1 465 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
17,340727832,2000,451 432 km,Automat,Bensin,Fritatt (avgifter),19.01.2000,Firehjulsdrift,218 Hk,2 020 kg,7,SUV/Offroad,5,Bruktbil til salgs,Personbil,2 750 kg
18,340558632,2000,138 000 km,Manuell,Bensin,3 074 kr (avgifter),04.07.2000,Forhjulsdrift,68 Hk,865 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,650 kg
22,340564965,2006,220 329 km,Manuell,Diesel,1 845 kr (avgifter),29.03.2006,Forhjulsdrift,109 Hk,1 313 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 300 kg
23,340518035,2008,380 000 km,Manuell,Diesel,1 845 kr (avgifter),10.01.2008,Firehjulsdrift,140 Hk,1 560 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 600 kg
24,340483491,2007,188 000 km,Manuell,Diesel,1 845 kr (avgifter),12.04.2007,Forhjulsdrift,90 Hk,1 255 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 300 kg
25,340380463,2004,204 529 km,Automat,Bensin,1 845 kr (avgifter),06.07.2004,Forhjulsdrift,98 Hk,1 220 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 200 kg
26,340342876,2006,241 912 km,Manuell,Bensin,3 074 kr (avgifter),06.04.2006,Forhjulsdrift,88 Hk,1 092 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,945 kg
27,340357009,2006,122 128 km,Manuell,Bensin,1 845 kr (avgifter),16.05.2006,Forhjulsdrift,109 Hk,1 354 kg,5,Kombi 5-dørs,4,Bruktbil til salgs,Personbil,1 200 kg
28,340180113,2005,332 835 km,Automat,Diesel,1 845 kr (avgifter),17.11.2004,Forhjulsdrift,163 Hk,1 632 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 800 kg
29,340253341,2004,220 000 km,Manuell,Bensin,Fritatt (avgifter),05.02.2004,Bakhjulsdrift,170 Hk,1 560 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 600 kg
30,340231212,2003,295 000 km,Automat,Bensin,1 845 kr (avgifter),20.09.2023,Bakhjulsdrift,143 Hk,1 505 kg,5,Sedan,4,Bruktbil til salgs,Personbil,1 500 kg
32,339929188,1995,144 841 km,Manuell,Bensin,Fritatt (avgifter),28.05.2021,Forhjulsdrift,75 Hk,855 kg,5,Kombi 3-dørs,3,Bruktbil til salgs,Personbil,750 kg
33,339506834,2007,128 000 km,Manuell,Bensin,1 845 kr (avgifter),18.06.2007,Forhjulsdrift,88 Hk,1 149 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 150 kg
34,339867607,2007,227 000 km,Manuell,Diesel,1 845 kr (avgifter),05.03.2007,Forhjulsdrift,105 Hk,1 477 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
36,339800964,2005,199 000 km,Automat,Diesel,1 845 kr (avgifter),30.09.2004,Forhjulsdrift,105 Hk,1 579 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
38,339472197,2001,315 432 km,Automat,Bensin,Ikke oppgitt (avgifter),28.09.2001,Bakhjulsdrift,163 Hk,1 495 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 500 kg
39,339358193,2008,215 888 km,Manuell,Diesel,1 845 kr (avgifter),18.07.2008,Forhjulsdrift,109 Hk,1 426 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
40,338959118,2004,354 556 km,Automat,Bensin,Fritatt (avgifter),17.08.2004,Firehjulsdrift,184 Hk,1 645 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 850 kg
42,338628534,2002,295 000 km,Manuell,Bensin,1 845 kr (avgifter),03.01.2002,Forhjulsdrift,116 Hk,1 290 kg,5,Sedan,5,Bruktbil til salgs,Personbil,1 500 kg
