,Finnkode,car_name,Link,Price
0,340740197,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=340740197,1500.0
2,340776960,Opel Signum,https://www.finn.no/car/used/ad.html?finnkode=340776960,5000.0
15,340871948,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=340871948,8074.0
16,340759278,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=340759278,6845.0
17,340727832,Mercedes-Benz M-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340727832,11145.0
18,340558632,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=340558632,7074.0
22,340564965,Volvo S40,https://www.finn.no/car/used/ad.html?finnkode=340564965,9845.0
23,340518035,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=340518035,6345.0
24,340483491,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=340483491,9845.0
25,340380463,Mitsubishi Space Star I,https://www.finn.no/car/used/ad.html?finnkode=340380463,6845.0
26,340342876,Nissan Note,https://www.finn.no/car/used/ad.html?finnkode=340342876,9989.0
28,340180113,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=340180113,9845.0
29,340253341,BMW 5-serie,https://www.finn.no/car/used/ad.html?finnkode=340253341,9500.0
30,340231212,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340231212,8420.0
34,339867607,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=339867607,9845.0
36,339800964,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=339800964,8845.0
39,339358193,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=339358193,8845.0
48,337342176,Citroen C3,https://www.finn.no/car/used/ad.html?finnkode=337342176,9277.0
51,336183048,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=336183048,8845.0
54,326581266,Hyundai Getz,https://www.finn.no/car/used/ad.html?finnkode=326581266,6999.0
55,326163471,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=326163471,9999.0
58,322624064,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=322624064,9999.0
61,308096688,Opel Corsa,https://www.finn.no/car/used/ad.html?finnkode=308096688,6999.0
62,306412306,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=306412306,9999.0
67,341468024,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341468024,14845.0
68,341465253,Mitsubishi Outlander,https://www.finn.no/car/used/ad.html?finnkode=341465253,14845.0
72,340709749,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340709749,9845.0
75,341371636,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341371636,9845.0
76,341357496,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=341357496,9845.0
79,329575602,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=329575602,7777.0
81,341156032,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=341156032,7845.0
82,341140308,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341140308,6345.0
83,339212346,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=339212346,9845.0
87,340773696,Volkswagen Golf Plus,https://www.finn.no/car/used/ad.html?finnkode=340773696,11845.0
89,341438349,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341438349,13845.0
92,341405253,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=341405253,11845.0
95,341399036,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341399036,11845.0
97,340912321,Citroen C5,https://www.finn.no/car/used/ad.html?finnkode=340912321,11845.0
101,341288097,Suzuki Liana,https://www.finn.no/car/used/ad.html?finnkode=341288097,11845.0
103,341270123,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341270123,13845.0
109,341209806,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=341209806,11845.0
110,341203941,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=341203941,11845.0
112,341050438,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=341050438,13845.0
113,340909672,Ford Galaxy,https://www.finn.no/car/used/ad.html?finnkode=340909672,13000.0
116,341152281,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341152281,13845.0
119,341120830,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341120830,13000.0
120,341109762,Nissan Micra,https://www.finn.no/car/used/ad.html?finnkode=341109762,13074.0
121,331081371,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=331081371,11777.0
122,341064397,Suzuki SX4,https://www.finn.no/car/used/ad.html?finnkode=341064397,10845.0
124,340996090,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340996090,13845.0
125,340998952,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=340998952,14845.0
129,340932421,Volkswagen Bora,https://www.finn.no/car/used/ad.html?finnkode=340932421,11845.0
130,340913122,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=340913122,10845.0
132,340895717,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=340895717,11845.0
133,340896181,Volkswagen Bora,https://www.finn.no/car/used/ad.html?finnkode=340896181,13074.0
135,340782840,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=340782840,14345.0
136,340881157,Mercedes-Benz A-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340881157,12745.0
137,340883848,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=340883848,13231.0
138,340829486,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340829486,14345.0
140,340805035,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=340805035,11845.0
142,340743831,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340743831,10845.0
144,340521678,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340521678,10845.0
146,340600507,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=340600507,11231.0
148,340557446,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=340557446,11845.0
149,333797999,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=333797999,11186.0
152,340339850,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=340339850,11845.0
159,337270395,Toyota Verso-S,https://www.finn.no/car/used/ad.html?finnkode=337270395,13074.0
161,340160567,Peugeot 308,https://www.finn.no/car/used/ad.html?finnkode=340160567,13845.0
167,268882640,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=268882640,10729.0
170,339611012,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=339611012,12845.0
172,339814746,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=339814746,11845.0
173,339778227,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=339778227,10845.0
174,337882443,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=337882443,12845.0
175,335882879,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=335882879,11777.0
176,339737318,Volkswagen Golf Plus,https://www.finn.no/car/used/ad.html?finnkode=339737318,15000.0
177,339722924,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=339722924,13074.0
180,339672965,Volvo C30,https://www.finn.no/car/used/ad.html?finnkode=339672965,14000.0
181,339672436,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=339672436,13845.0
182,339631836,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=339631836,10845.0
183,339377270,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=339377270,14845.0
185,339218905,Nissan Qashqai,https://www.finn.no/car/used/ad.html?finnkode=339218905,15000.0
187,339173613,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=339173613,14900.0
188,339030559,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=339030559,11845.0
189,338826148,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=338826148,11845.0
190,338799098,Mercedes-Benz A-Klasse,https://www.finn.no/car/used/ad.html?finnkode=338799098,13074.0
193,338499955,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=338499955,12000.0
194,338409566,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=338409566,11880.0
196,338377505,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=338377505,12845.0
198,338257867,Volvo S40,https://www.finn.no/car/used/ad.html?finnkode=338257867,15000.0
199,338025371,MINI Cooper,https://www.finn.no/car/used/ad.html?finnkode=338025371,13074.0
201,335952689,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=335952689,12345.0
203,337315694,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=337315694,14300.0
204,337298899,Chevrolet Nubira,https://www.finn.no/car/used/ad.html?finnkode=337298899,13845.0
206,334372452,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=334372452,13777.0
209,318452067,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=318452067,13845.0
210,336328005,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=336328005,14777.0
211,326510990,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=326510990,11777.0
213,335892487,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=335892487,14845.0
215,326820238,Honda CR-V,https://www.finn.no/car/used/ad.html?finnkode=326820238,13777.0
216,335181068,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=335181068,13845.0
217,335147584,Citroen Xsara Picasso,https://www.finn.no/car/used/ad.html?finnkode=335147584,14000.0
220,334478152,Toyota RAV4,https://www.finn.no/car/used/ad.html?finnkode=334478152,14777.0
221,334094084,Citroen C3,https://www.finn.no/car/used/ad.html?finnkode=334094084,14777.0
222,332526123,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=332526123,13777.0
227,325881927,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=325881927,11277.0
228,324810711,Subaru Legacy,https://www.finn.no/car/used/ad.html?finnkode=324810711,11777.0
236,317631626,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=317631626,11777.0
243,326202158,Mercedes-Benz B-Klasse,https://www.finn.no/car/used/ad.html?finnkode=326202158,16777.0
245,341462736,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=341462736,15845.0
248,341273953,Volkswagen Caddy,https://www.finn.no/car/used/ad.html?finnkode=341273953,19845.0
249,341443455,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=341443455,19500.0
250,341426530,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341426530,16845.0
252,341303215,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341303215,16345.0
253,341405765,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341405765,17844.0
254,332356282,Ford Transit,https://www.finn.no/car/used/ad.html?finnkode=332356282,16186.0
255,341175878,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=341175878,16074.0
256,341378802,Peugeot 307 CC,https://www.finn.no/car/used/ad.html?finnkode=341378802,16345.0
257,341382285,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=341382285,19845.0
258,341332527,Volvo XC90,https://www.finn.no/car/used/ad.html?finnkode=341332527,19995.0
260,337559609,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=337559609,19845.0
261,338807796,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=338807796,18845.0
263,341344762,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341344762,19845.0
264,331405232,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=331405232,16777.0
266,341339015,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=341339015,16845.0
267,341323168,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=341323168,18500.0
269,341296408,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=341296408,16845.0
270,341291677,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341291677,17845.0
273,341281873,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=341281873,17845.0
275,341267824,Saab 9-5,https://www.finn.no/car/used/ad.html?finnkode=341267824,19845.0
276,341223804,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=341223804,18745.0
281,341263024,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341263024,18845.0
284,341240236,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=341240236,17000.0
286,341218004,Mazda 3,https://www.finn.no/car/used/ad.html?finnkode=341218004,18845.0
287,341219456,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=341219456,16845.0
288,341214340,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341214340,19845.0
289,341208285,Suzuki Swift,https://www.finn.no/car/used/ad.html?finnkode=341208285,18800.0
290,341202275,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341202275,18000.0
293,341182604,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=341182604,19845.0
294,340727159,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=340727159,18845.0
301,341129800,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=341129800,16845.0
302,341126322,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341126322,18500.0
304,336249461,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=336249461,15845.0
307,340997492,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=340997492,18845.0
309,340972845,Toyota Aygo,https://www.finn.no/car/used/ad.html?finnkode=340972845,19900.0
311,340933587,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=340933587,16845.0
315,340896121,Mitsubishi Space Star I,https://www.finn.no/car/used/ad.html?finnkode=340896121,16845.0
316,340900915,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340900915,15845.0
317,340900847,Subaru Justy,https://www.finn.no/car/used/ad.html?finnkode=340900847,16845.0
318,340898740,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=340898740,18845.0
319,340856953,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340856953,19845.0
320,340896198,Ford C-Max,https://www.finn.no/car/used/ad.html?finnkode=340896198,16845.0
321,340893802,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=340893802,18172.0
322,340845252,Ford Fusion,https://www.finn.no/car/used/ad.html?finnkode=340845252,18074.0
