,Finnkode,Specifications
0,340740197,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""251 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""20.10.2004"", ""Farge"": ""Svart"", ""Hjuldrift"": ""Firehjulsdrift"", ""Effekt"": ""129 Hk"", ""Sylindervolum"": ""1,8 l"", ""Vekt"": ""1 295 kg"", ""CO2-utslipp"": ""172 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""7"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""ST96176"", ""Chassis nr. (VIN)"": ""SB1ER56L90E093859"", ""Maksimal tilhengervekt"": ""1 300 kg""}"
2,340776960,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""300 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""14.08.2006"", ""Farge"": ""Svart"", ""Interi\u00f8rfarge"": ""Krem -farget skinn"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""150 Hk"", ""Sylindervolum"": ""1,9 l"", ""Vekt"": ""1 638 kg"", ""CO2-utslipp"": ""189 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""13"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""RJ60433"", ""Chassis nr. (VIN)"": ""W0L0ZCF4861004832"", ""Maksimal tilhengervekt"": ""1 600 kg"", ""Neste frist for EU-kontroll"": ""13.06.2024""}"
15,340871948,"{""Modell\u00e5r"": ""2003"", ""Kilometer"": ""180 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""3 074 kr (avgifter)"", ""Pris eks omreg"": ""5 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""25.08.2003"", ""Farge"": ""Svart"", ""Interi\u00f8rfarge"": ""Gr\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""75 Hk"", ""Sylindervolum"": ""1,4 l"", ""Vekt"": ""1 175 kg"", ""CO2-utslipp"": ""163 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""3"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""FT10221"", ""Chassis nr. (VIN)"": ""TMBCC21U332807249"", ""Maksimal tilhengervekt"": ""850 kg"", ""Sist EU-godkjent"": ""10.02.2023""}"
16,340759278,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""322 401 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""5 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""22.10.2007"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""126 Hk"", ""Sylindervolum"": ""2 l"", ""Vekt"": ""1 465 kg"", ""CO2-utslipp"": ""155 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""4"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""FT24171"", ""Chassis nr. (VIN)"": ""SB1ED56L60E057920"", ""Maksimal tilhengervekt"": ""1 300 kg""}"
17,340727832,"{""Modell\u00e5r"": ""2000"", ""Kilometer"": ""451 432 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""Pris eks omreg"": ""9 300 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""19.01.2000"", ""Farge"": ""S\u00f8lv"", ""Hjuldrift"": ""Firehjulsdrift"", ""Effekt"": ""218 Hk"", ""Sylindervolum"": ""3,2 l"", ""Vekt"": ""2 020 kg"", ""CO2-utslipp"": ""330 g/km"", ""Antall seter"": ""7"", ""Karosseri"": ""SUV/Offroad"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""DJ77967"", ""Chassis nr. (VIN)"": ""WDC1631541X707953"", ""Maksimal tilhengervekt"": ""2 750 kg""}"
18,340558632,"{""Modell\u00e5r"": ""2000"", ""Kilometer"": ""138 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""3 074 kr (avgifter)"", ""Pris eks omreg"": ""4 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""04.07.2000"", ""Farge"": ""Gr\u00f8nn"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""68 Hk"", ""Sylindervolum"": ""1 l"", ""Vekt"": ""865 kg"", ""CO2-utslipp"": ""137 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""ST43922"", ""Chassis nr. (VIN)"": ""JTDKV123900171532"", ""Maksimal tilhengervekt"": ""650 kg"", ""Neste frist for EU-kontroll"": ""01.12.2023""}"
22,340564965,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""220 329 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""8 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""29.03.2006"", ""Farge"": ""Bl\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""109 Hk"", ""Sylindervolum"": ""1,6 l"", ""Vekt"": ""1 313 kg"", ""CO2-utslipp"": ""129 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Sedan"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""2"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""RJ55113"", ""Chassis nr. (VIN)"": ""YV1MS763262185052"", ""Maksimal tilhengervekt"": ""1 300 kg""}"
23,340518035,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""380 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""4 500 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""10.01.2008"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Firehjulsdrift"", ""Effekt"": ""140 Hk"", ""Sylindervolum"": ""2 l"", ""Vekt"": ""1 560 kg"", ""CO2-utslipp"": ""178 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""JD48685"", ""Chassis nr. (VIN)"": ""WAUZZZ8E08A119199"", ""Maksimal tilhengervekt"": ""1 600 kg""}"
24,340483491,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""188 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""8 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""12.04.2007"", ""Farge"": ""Beige"", ""Interi\u00f8rfarge"": ""Svart"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""90 Hk"", ""Sylindervolum"": ""1,2 l"", ""Vekt"": ""1 255 kg"", ""CO2-utslipp"": ""130 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""7"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""ZH21230"", ""Chassis nr. (VIN)"": ""W0L0AHL4872084495"", ""Maksimal tilhengervekt"": ""1 300 kg"", ""Sist EU-godkjent"": ""19.07.2023"", ""Neste frist for EU-kontroll"": ""16.07.2025""}"
25,340380463,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""204 529 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""5 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""06.07.2004"", ""Farge"": ""R\u00f8d"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""98 Hk"", ""Sylindervolum"": ""1,6 l"", ""Vekt"": ""1 220 kg"", ""CO2-utslipp"": ""192 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""7"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""DK83365"", ""Chassis nr. (VIN)"": ""XMCLRDG3A4F029628"", ""Maksimal tilhengervekt"": ""1 200 kg"", ""Sist EU-godkjent"": ""23.12.2023""}"
