,Finnkode,car_name,Link,Price
0,340740197,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=340740197,1500.0
2,340776960,Opel Signum,https://www.finn.no/car/used/ad.html?finnkode=340776960,5000.0
3,340214271,Hyundai Tucson,https://www.finn.no/car/used/ad.html?finnkode=340214271,2845.0
6,313246835,Opel Combo,https://www.finn.no/car/used/ad.html?finnkode=313246835,4686.0
9,269429344,Peugeot 607,https://www.finn.no/car/used/ad.html?finnkode=269429344,1729.0
11,190912497,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=190912497,1707.0
12,142486773,Peugeot 1007,https://www.finn.no/car/used/ad.html?finnkode=142486773,3118.0
15,340871948,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=340871948,8074.0
16,340759278,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=340759278,6845.0
17,340727832,Mercedes-Benz M-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340727832,11145.0
18,340558632,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=340558632,7074.0
22,340564965,Volvo S40,https://www.finn.no/car/used/ad.html?finnkode=340564965,9845.0
23,340518035,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=340518035,6345.0
24,340483491,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=340483491,9845.0
25,340380463,Mitsubishi Space Star I,https://www.finn.no/car/used/ad.html?finnkode=340380463,6845.0
26,340342876,Nissan Note,https://www.finn.no/car/used/ad.html?finnkode=340342876,9989.0
27,340357009,Peugeot 307,https://www.finn.no/car/used/ad.html?finnkode=340357009,7000.0
28,340180113,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=340180113,9845.0
29,340253341,BMW 5-serie,https://www.finn.no/car/used/ad.html?finnkode=340253341,9500.0
30,340231212,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340231212,8420.0
32,339929188,Nissan Micra,https://www.finn.no/car/used/ad.html?finnkode=339929188,9000.0
33,339506834,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=339506834,9845.0
34,339867607,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=339867607,9845.0
36,339800964,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=339800964,8845.0
38,339472197,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=339472197,7000.0
39,339358193,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=339358193,8845.0
40,338959118,Suzuki XL7,https://www.finn.no/car/used/ad.html?finnkode=338959118,9999.0
42,338628534,Citroen C5,https://www.finn.no/car/used/ad.html?finnkode=338628534,10000.0
43,338516257,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=338516257,9900.0
44,338402367,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=338402367,7845.0
45,338374572,Peugeot 205,https://www.finn.no/car/used/ad.html?finnkode=338374572,8500.0
48,337342176,Citroen C3,https://www.finn.no/car/used/ad.html?finnkode=337342176,9277.0
49,337175532,Ford Maverick,https://www.finn.no/car/used/ad.html?finnkode=337175532,8845.0
50,336590906,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=336590906,9990.0
51,336183048,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=336183048,8845.0
52,335345437,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=335345437,10000.0
53,328873302,Smart Forfour,https://www.finn.no/car/used/ad.html?finnkode=328873302,10000.0
54,326581266,Hyundai Getz,https://www.finn.no/car/used/ad.html?finnkode=326581266,6999.0
55,326163471,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=326163471,9999.0
58,322624064,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=322624064,9999.0
61,308096688,Opel Corsa,https://www.finn.no/car/used/ad.html?finnkode=308096688,6999.0
62,306412306,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=306412306,9999.0
67,341468024,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341468024,14845.0
68,341465253,Mitsubishi Outlander,https://www.finn.no/car/used/ad.html?finnkode=341465253,14845.0
69,341467433,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=341467433,7845.0
72,340709749,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340709749,9845.0
75,341371636,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341371636,9845.0
76,341357496,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=341357496,9845.0
79,329575602,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=329575602,7777.0
81,341156032,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=341156032,7845.0
82,341140308,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341140308,6345.0
83,339212346,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=339212346,9845.0
87,340773696,Volkswagen Golf Plus,https://www.finn.no/car/used/ad.html?finnkode=340773696,11845.0
88,338095889,Nissan Micra,https://www.finn.no/car/used/ad.html?finnkode=338095889,15000.0
89,341438349,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341438349,13845.0
92,341405253,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=341405253,11845.0
95,341399036,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341399036,11845.0
96,341391897,Volkswagen Caravelle,https://www.finn.no/car/used/ad.html?finnkode=341391897,15000.0
97,340912321,Citroen C5,https://www.finn.no/car/used/ad.html?finnkode=340912321,11845.0
99,341299974,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=341299974,15000.0
101,341288097,Suzuki Liana,https://www.finn.no/car/used/ad.html?finnkode=341288097,11845.0
102,341272866,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=341272866,11231.0
103,341270123,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=341270123,13845.0
107,341253086,Renault Megane,https://www.finn.no/car/used/ad.html?finnkode=341253086,11845.0
109,341209806,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=341209806,11845.0
110,341203941,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=341203941,11845.0
112,341050438,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=341050438,13845.0
113,340909672,Ford Galaxy,https://www.finn.no/car/used/ad.html?finnkode=340909672,13000.0
115,341155397,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=341155397,14000.0
116,341152281,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341152281,13845.0
117,341146104,Mitsubishi Space Star I,https://www.finn.no/car/used/ad.html?finnkode=341146104,15000.0
119,341120830,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=341120830,13000.0
120,341109762,Nissan Micra,https://www.finn.no/car/used/ad.html?finnkode=341109762,13074.0
121,331081371,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=331081371,11777.0
122,341064397,Suzuki SX4,https://www.finn.no/car/used/ad.html?finnkode=341064397,10845.0
123,341008601,Volkswagen Caravelle,https://www.finn.no/car/used/ad.html?finnkode=341008601,13845.0
124,340996090,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340996090,13845.0
125,340998952,Opel Astra,https://www.finn.no/car/used/ad.html?finnkode=340998952,14845.0
126,340966839,Toyota HiAce,https://www.finn.no/car/used/ad.html?finnkode=340966839,11231.0
127,260150419,Mercedes-Benz S-Klasse,https://www.finn.no/car/used/ad.html?finnkode=260150419,11729.0
129,340932421,Volkswagen Bora,https://www.finn.no/car/used/ad.html?finnkode=340932421,11845.0
130,340913122,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=340913122,10845.0
132,340895717,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=340895717,11845.0
133,340896181,Volkswagen Bora,https://www.finn.no/car/used/ad.html?finnkode=340896181,13074.0
135,340782840,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=340782840,14345.0
136,340881157,Mercedes-Benz A-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340881157,12745.0
137,340883848,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=340883848,13231.0
138,340829486,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340829486,14345.0
139,340812596,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=340812596,13845.0
140,340805035,Audi A6,https://www.finn.no/car/used/ad.html?finnkode=340805035,11845.0
142,340743831,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340743831,10845.0
144,340521678,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340521678,10845.0
146,340600507,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=340600507,11231.0
148,340557446,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=340557446,11845.0
149,333797999,Ford Transit Connect,https://www.finn.no/car/used/ad.html?finnkode=333797999,11186.0
152,340339850,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=340339850,11845.0
153,340344685,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=340344685,13845.0
155,340316036,Mercedes-Benz C-Klasse,https://www.finn.no/car/used/ad.html?finnkode=340316036,11845.0
157,340252602,Opel Combo,https://www.finn.no/car/used/ad.html?finnkode=340252602,11231.0
159,337270395,Toyota Verso-S,https://www.finn.no/car/used/ad.html?finnkode=337270395,13074.0
161,340160567,Peugeot 308,https://www.finn.no/car/used/ad.html?finnkode=340160567,13845.0
162,340114987,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=340114987,12000.0
163,340064123,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=340064123,11845.0
164,340070645,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=340070645,12000.0
167,268882640,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=268882640,10729.0
168,339971700,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=339971700,11845.0
170,339611012,Toyota Corolla,https://www.finn.no/car/used/ad.html?finnkode=339611012,12845.0
172,339814746,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=339814746,11845.0
173,339778227,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=339778227,10845.0
174,337882443,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=337882443,12845.0
175,335882879,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=335882879,11777.0
176,339737318,Volkswagen Golf Plus,https://www.finn.no/car/used/ad.html?finnkode=339737318,15000.0
177,339722924,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=339722924,13074.0
178,339697718,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=339697718,13845.0
180,339672436,Audi A4,https://www.finn.no/car/used/ad.html?finnkode=339672436,13845.0
181,339631836,Volkswagen Polo,https://www.finn.no/car/used/ad.html?finnkode=339631836,10845.0
182,339377270,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=339377270,14845.0
184,339218905,Nissan Qashqai,https://www.finn.no/car/used/ad.html?finnkode=339218905,15000.0
186,339173613,Skoda Fabia,https://www.finn.no/car/used/ad.html?finnkode=339173613,14900.0
187,339030559,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=339030559,11845.0
188,338826148,Skoda Octavia,https://www.finn.no/car/used/ad.html?finnkode=338826148,11845.0
189,338799098,Mercedes-Benz A-Klasse,https://www.finn.no/car/used/ad.html?finnkode=338799098,13074.0
192,338499955,Toyota Yaris Verso,https://www.finn.no/car/used/ad.html?finnkode=338499955,12000.0
193,338409566,Opel Vectra,https://www.finn.no/car/used/ad.html?finnkode=338409566,11880.0
195,338377505,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=338377505,12845.0
197,338257867,Volvo S40,https://www.finn.no/car/used/ad.html?finnkode=338257867,15000.0
198,338025371,MINI Cooper,https://www.finn.no/car/used/ad.html?finnkode=338025371,13074.0
200,335952689,Volvo S80,https://www.finn.no/car/used/ad.html?finnkode=335952689,12345.0
202,337315694,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=337315694,14300.0
203,337298899,Chevrolet Nubira,https://www.finn.no/car/used/ad.html?finnkode=337298899,13845.0
204,337200969,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=337200969,15000.0
205,334372452,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=334372452,13777.0
208,318452067,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=318452067,13845.0
209,336328005,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=336328005,14777.0
210,326510990,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=326510990,11777.0
211,335943039,Mazda 5,https://www.finn.no/car/used/ad.html?finnkode=335943039,12800.0
212,335892487,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=335892487,14845.0
214,326820238,Honda CR-V,https://www.finn.no/car/used/ad.html?finnkode=326820238,13777.0
215,335181068,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=335181068,13845.0
216,335147584,Citroen Xsara Picasso,https://www.finn.no/car/used/ad.html?finnkode=335147584,14000.0
218,331081387,Opel Vivaro,https://www.finn.no/car/used/ad.html?finnkode=331081387,15000.0
219,334478152,Toyota RAV4,https://www.finn.no/car/used/ad.html?finnkode=334478152,14777.0
220,334094084,Citroen C3,https://www.finn.no/car/used/ad.html?finnkode=334094084,14777.0
221,332526123,Mitsubishi Colt,https://www.finn.no/car/used/ad.html?finnkode=332526123,13777.0
224,327965364,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=327965364,12000.0
226,325881927,Peugeot 407,https://www.finn.no/car/used/ad.html?finnkode=325881927,11277.0
227,324810711,Subaru Legacy,https://www.finn.no/car/used/ad.html?finnkode=324810711,11777.0
230,322694272,Mercedes-Benz S-Klasse,https://www.finn.no/car/used/ad.html?finnkode=322694272,13777.0
231,322689565,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=322689565,11777.0
234,317723015,Mitsubishi Grandis,https://www.finn.no/car/used/ad.html?finnkode=317723015,14900.0
235,317631626,Ford S-MAX,https://www.finn.no/car/used/ad.html?finnkode=317631626,11777.0
242,326202158,Mercedes-Benz B-Klasse,https://www.finn.no/car/used/ad.html?finnkode=326202158,16777.0
