From,To,Similarity
Forvarming av kupe`,Oppvarmede seter,0.131
LED projektor fra sidespeil,Elektriske speil,0.244
Ryggekamera 180 og parkeringssensor foran/bak,Airbag foran,0.139
STOR PLASS,,0.0
"Lettmetallfelger, 20",Lettmet. felg vinter,0.624
"ISOFIX, passasjer foran",Isofix,0.648
DAB+Radio,Radio FM,0.635
"Aut. klimaanlegg, 2-sone",Klimaanlegg,0.823
2C3 Fabrikkontrollkode,Sentrallås,0.047
N3BN,,0.0
LED MATRIX,Elektriske speil,0.096
273 Utstigningsvarslingsassistent,Sentrallås,0.038
"275 Memory-pakke (førersete, rattstamme og speil)",Elektriske speil,0.142
"ISOFIX, bak",Isofix,0.948
270 GPS-antenne,Antispinn,0.079
Xenon mel Led kjørelys,Kjørecomputer,0.181
256 Track Pace,Sentrallås,0.098
287 Durchlademöglichkeit,,0.0
Auto Klima,Klimaanlegg,0.454
274 Telefonantenne,Antispinn,0.074
El. komfortseter,Oppvarmede seter,0.171
El.vindu framme og bak,El.vinduer,0.594
Lettmetallfelg sommerdekk,Lettmet. felg sommer,0.721
Lettmetallfelg vinterdekk,Lettmet. felg vinter,0.696
3U6 HU landssett for ECE/ROW,Lettmet. felg vinter,0.074
Lær-ratt,Multifunksjonsratt,0.136
426 Dobbeltclutchgirkasse automatisk 8-trinns,Antispinn,0.079
Dynamiske baklykter,Elektriske speil,0.149
413 Panorama-Schiebedach,Airbag foran,0.053
446 Kun touchpad,,0.0
400 Armlehne im Fond,Oppvarmede seter,0.058
401 Seteklimatisering foran,Klimaanlegg,0.226
Softclose dører,Isofix,0.144
266 Distronic Plus sidestøtte (DTR+Q),,0.0
628 Automatisk fjernlys Plus (IHC+),Antiskrens,0.119
537 Digital radiostandard DAB (Digi. Audio Broadc.),Radio FM,0.343
"Massasje i forseter, ergoActive",Oppvarmede seter,0.103
458 Kombiinstrument-display S,Antispinn,0.079
352B Språk kombiinstrument/hovedenhet - norsk,Oppvarmede seter,0.053
mm,,0.0
6C7 Fabrikkontrollkode,Sentrallås,0.047
6C8 Fabrikkontrollkode,Sentrallås,0.047
13B Instruksjonsbok og servicehefte - norsk,Multifunksjonsratt,0.12
6J7 Fabrikkontrollkode,Sentrallås,0.047
0V0 Speed-/Loadindex 93Y XL,Radio FM,0.115
355 Vorrüstung für Navigationsnachrüstung,Multifunksjonsratt,0.024
09U Mercedes-Benz Connect - bilovervåkning (HERMES),Oppvarmede seter,0.099
MY-Mazda app,,0.0
2U8 Kjølemiddel alternativ,Vinterhjul,0.025
Fantastisk kjøreglede,Antiskrens,0.19
6P5 Kontrollkode salg for kode 475 Krav,Sentrallås,0.04
73B Rullegardinrom låst,Klimaanlegg,0.065
"772 AMG-styling - frontspoiler, sideskjørt",Startsperre,0.084
1U3 Kjøretøybegroing,Kjørecomputer,0.133
"17"" alufelger SALAMANCA tofarget sort Onyx og dekkskum",Lettmet. felg vinter,0.088
543 Solskjerm med tilleggsfunksjon,Multifunksjonsratt,0.241
351 Ecall-nødanropssystem,Sentrallås,0.06
Webasto fjernstyrt,Servostyring,0.147
16U Integrasjon for smarttelefon Apple CarPlay,Vinterhjul,0.08
15P ME-bil etter leveringsbekreftelse,Antiskrens,0.079
642 Frontlykt LED dynamisk høyrekjøring,Kjørecomputer,0.058
DSG Automatgir,,0.0
310 Doppelcupholder,Oppvarmede seter,0.058
15U Klargjøring Integrasjon for smarttelefon MB-Link,Vinterhjul,0.073
166 Produksjonssted kjøretøy Kecskemet,Multifunksjonsratt,0.119
666 Produktbeskyttelse for fraktkjøretøy uten transportøyne,Kjørecomputer,0.116
598 Partikkelfilter for bensinmotor (OPF) med sensorer,Antiskrens,0.074
409 Multikontursete foran venstre og høyre side,Multifunksjonsratt,0.142
581 Klimatiseringsautomatikk,Klimaanlegg,0.189
14U Smarttelefon-integrasjonspakke,Multifunksjonsratt,0.095
555 AMG-Performance-sete,Oppvarmede seter,0.076
549 Connect 20 HIGH (NTG6),,0.0
546 Automatisk hastighetsregulering,Antiskrens,0.099
339 Innkoblingsbar motorlyd,Antispinn,0.042
17U Integrasjon for smarttelefon Android Auto,Vinterhjul,0.082
5 År nybilgaranti fra reg dato,Antispinn,0.144
775U Iridium silver - metalliclakk,Sentrallås,0.057
Nylig Eu godkjent,Sentrallås,0.057
502 Flerårig gratis oppdatering av kartdata,Startsperre,0.112
250 AMG førerpakke,,0.0
51B Rating nasjonal utførelse EURO-NCAP,Multifunksjonsratt,0.09
513 Verkehrszeichenerkennung,,0.0
800 AEJ X9/1,,0.0
255B Mb-Mobilo med DSB og GGD,Oppvarmede seter,0.037
810 Soundsystem Premium,ABS-Bremser,0.058
824 Klimaomfang for kalde land,Klimaanlegg,0.187
"Smartphone integrasjon, trådløs",Vinterhjul,0.095
51U Innvendig takkledning stoff black,Antispinn,0.041
501 360  kamera,Sommerhjul,0.079
Park. sensorer foran/bak,Airbag foran,0.206
475 Reifendruckkontrolle (RDK),Sentrallås,0.039
Oppgradert lydanlegg,Klimaanlegg,0.304
Tvang når ikke navi,,0.0
463 Frontruteprojisering (Head-up-Display),Servostyring,0.073
459 Stålfjæring med justerbare dempere,Airbag foran,0.069
249 Innvendig speil og sidespeil automatisk avblendbart,Elektriske speil,0.294
5XXL Europa,,0.0
200A Skinn,Antispinn,0.08
7C2 Fabrikkontrollkode,Sentrallås,0.047
08U Mercedes-Benz Connect - tjenester for biloppsett (HERMES),Oppvarmede seter,0.183
362 HERMES - kommunikasjonsmodul LTE,Multifunksjonsratt,0.089
365 Harddiskbasert navigasjon,Multifunksjonsratt,0.059
776 Brede hjulkasser,Vinterhjul,0.193
367 Live Traffic - kompatibel,Kjørecomputer,0.071
01U Mercedes-Benz Connect - tjenester for navigasjon,Oppvarmede seter,0.078
79B Klargjøring av digital radiostandard DAB,Radio FM,0.284
204A Skinn - brun,Antispinn,0.065
7C3 Fabrikkontrollkode,Sentrallås,0.047
20U Nøkkelfri utleie,,0.0
213 Parameterstyring / Vario-styring,Servostyring,0.5
233 Farts- og avstandsholder Plus (DISTRONIC PLUS),Startsperre,0.121
235 Aktiver Park-Assistent,Sentrallås,0.055
23P Kjørepakke,Kjørecomputer,0.203
242 Førersete høyre side elektrisk juserbart med minnefunksjon,Elektriske speil,0.29
Utvidet kjøreassistentpakke,Kjørecomputer,0.143
6C6 Fabrikkontrollkode,Sentrallås,0.047
- Autonom nødbremsing - Fotgjenger,ABS-Bremser,0.165
AUX/USB/BLUETOOTH,Bluetooth,0.622
Parkview ryggekamera,Sommerhjul,0.051
HEL OG FIN VAREBIL,Oppvarmede seter,0.062
EU OK TIL 11 - 2025,,0.0
BRA S OG V HJUL - 2 x SKYVEDØRER,Vinterhjul,0.231
Ytelse og drivverk:,,0.0
Without water detector in diesel filter,Oppvarmede seter,0.081
Without tire pressure loss indicator,El.vinduer,0.042
Allroad mode,Sentrallås,0.101
Without sunroof,,0.0
Without side blinds,El.vinduer,0.069
Without roof rack,,0.0
Avstands Varsling,Startsperre,0.06
Drive Select,Elektriske speil,0.08
Without rear seat,,0.0
Without rear head restraints,Sentrallås,0.07
Fører Assist,,0.0
Off Road,,0.0
Handsfree Bluetooth,Bluetooth,0.711
Artvelour/stoffinteriør,Vinterhjul,0.119
El. justerbare seter foran med massasje og uttrekkbar lårstøtte,Airbag foran,0.185
KOMPLETT SERV HEFTE - LEV MED NY REG REIM,Lettmet. felg vinter,0.149
NB VI KJØPER BILER FRA 10000 - 300000,Startsperre,0.039
RING FOR AVTALE -PRØVEKJØRING,Servostyring,0.107
CPE - ELEKTRISK DØRLÅS,Elektriske speil,0.478
Utvidet Komfortvegg,Klimaanlegg,0.069
El.korsr.st./fører,,0.0
Friskluftfilter,Elektriske speil,0.121
"Setetrekk ""robust""",Oppvarmede seter,0.094
HARM01 - INTERIOR HARMONY 01,Vinterhjul,0.122
GDFROI - EKSTREMT KALDT KLIMA,Klimaanlegg,0.193
ELEC - ELEKTRISK,Elektriske speil,0.686
03BE Mirror caps black,,0.0
04GQ M seat belts,,0.0
