Finnkode,Specifications
340740197,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""251 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""20.10.2004"", ""Farge"": ""Svart"", ""Hjuldrift"": ""Firehjulsdrift"", ""Effekt"": ""129 Hk"", ""Sylindervolum"": ""1,8 l"", ""Vekt"": ""1 295 kg"", ""CO2-utslipp"": ""172 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""7"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""ST96176"", ""Chassis nr. (VIN)"": ""SB1ER56L90E093859"", ""Maksimal tilhengervekt"": ""1 300 kg""}"
308048018,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""165 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 186 kr (avgifter)"", ""Pris eks omreg"": ""3 500 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""23.12.2004"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""69 Hk"", ""Sylindervolum"": ""1,9 l"", ""Vekt"": ""1 185 kg"", ""Antall seter"": ""2"", ""Karosseri"": ""Stasjonsvogn"", ""Antall eiere"": ""4"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Varebil"", ""Reg.nr."": ""RZ27148"", ""Chassis nr. (VIN)"": ""VF3GCWJYB96122001"", ""Neste frist for EU-kontroll"": ""14.09.2024""}"
340776960,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""300 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""14.08.2006"", ""Farge"": ""Svart"", ""Interi\u00f8rfarge"": ""Krem -farget skinn"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""150 Hk"", ""Sylindervolum"": ""1,9 l"", ""Vekt"": ""1 638 kg"", ""CO2-utslipp"": ""189 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""13"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""RJ60433"", ""Chassis nr. (VIN)"": ""W0L0ZCF4861004832"", ""Maksimal tilhengervekt"": ""1 600 kg"", ""Neste frist for EU-kontroll"": ""13.06.2024""}"
340214271,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""265 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""1 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""13.06.2005"", ""Farge"": ""S\u00f8lv"", ""Hjuldrift"": ""Firehjulsdrift"", ""Effekt"": ""111 Hk"", ""Sylindervolum"": ""2 l"", ""Vekt"": ""1 698 kg"", ""CO2-utslipp"": ""210 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""SUV/Offroad"", ""Antall d\u00f8rer"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""RJ46000"", ""Chassis nr. (VIN)"": ""KMHJN81VP5U152624"", ""Maksimal tilhengervekt"": ""1 600 kg""}"
315216246,"{""Modell\u00e5r"": ""1966"", ""Kilometer"": ""0 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""400 kr (avgifter)"", ""Pris eks omreg"": ""3 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Bakhjulsdrift"", ""Antall seter"": ""5"", ""Karosseri"": ""Sedan"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil""}"
338458654,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""99 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""Pris eks omreg"": ""5 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""14.10.2004"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Bakhjulsdrift"", ""Effekt"": ""61 Hk"", ""Sylindervolum"": ""0,7 l"", ""Vekt"": ""730 kg"", ""CO2-utslipp"": ""121 g/km"", ""Antall seter"": ""2"", ""Karosseri"": ""Kombi 3-d\u00f8rs"", ""Antall d\u00f8rer"": ""3"", ""Antall eiere"": ""12"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""DK89463"", ""Chassis nr. (VIN)"": ""WME4503321J118741""}"
313246835,"{""Modell\u00e5r"": ""2009"", ""Kilometer"": ""165 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 186 kr (avgifter)"", ""Pris eks omreg"": ""3 500 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""17.09.2009"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""75 Hk"", ""Sylindervolum"": ""1,2 l"", ""Vekt"": ""1 215 kg"", ""CO2-utslipp"": ""138 g/km"", ""Antall seter"": ""2"", ""Karosseri"": ""Kasse"", ""Antall d\u00f8rer"": ""4"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Varebil"", ""Reg.nr."": ""SD48306"", ""Chassis nr. (VIN)"": ""W0L0XCF2594267513"", ""Maksimal tilhengervekt"": ""1 000 kg""}"
306287400,"{""Modell\u00e5r"": ""1999"", ""Kilometer"": ""235 098 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""08.11.1999"", ""Farge"": ""S\u00f8lv"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""128 Hk"", ""Sylindervolum"": ""2 l"", ""Vekt"": ""1 280 kg"", ""CO2-utslipp"": ""202 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall eiere"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""TV63816"", ""Chassis nr. (VIN)"": ""SB172SBN00E048096"", ""Neste frist for EU-kontroll"": ""30.06.2023""}"
302794306,"{""Modell\u00e5r"": ""2000"", ""Kilometer"": ""199 800 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""09.06.2000"", ""Farge"": ""Svart"", ""Hjuldrift"": ""Bakhjulsdrift"", ""Effekt"": ""163 Hk"", ""Sylindervolum"": ""2 l"", ""Vekt"": ""1 445 kg"", ""CO2-utslipp"": ""222 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Sedan"", ""Antall eiere"": ""7"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""SC97855"", ""Chassis nr. (VIN)"": ""WDB2030451A016864"", ""Neste frist for EU-kontroll"": ""31.05.2024""}"
295851273,"{""Modell\u00e5r"": ""2003"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 777 kr (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""11.11.2003"", ""Farge"": ""Bl\u00e5"", ""Hjuldrift"": ""Firehjulsdrift"", ""Effekt"": ""131 Hk"", ""Sylindervolum"": ""1,9 l"", ""Vekt"": ""1 575 kg"", ""CO2-utslipp"": ""172 g/km"", ""Antall seter"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""AA50133"", ""Chassis nr. (VIN)"": ""WAUZZZ4B94N045442"", ""Maksimal tilhengervekt"": ""1 600 kg""}"
