Finnkode,Equipment
340740197,[]
308048018,[]
340776960,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Bagasjeromstrekk"", ""CD-spiller"", ""Cruisekontroll Adaptiv"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Hel\u00e5rsdekk"", ""Hengerfeste, fast krok"", ""Klimaanlegg"", ""Kupevarmer"", ""Lettmet. felg sommer"", ""Metallic lakk"", ""Midtarmlene"", ""Multifunksjonsratt"", ""M\u00f8rke ruter bak"", ""Navigasjonssystem"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter i helskinn"", ""Sideairbager"", ""Sommerhjul"", ""Startsperre"", ""Vinterhjul""]"
340214271,[]
315216246,[]
338458654,[]
313246835,"[""ABS-bremser"", ""Hengerfeste""]"
306287400,[]
302794306,[]
295851273,[]
269429344,"[""Her er det mye bra. Starter og g\u00e5r godt."", ""Komplett Peugot 607 selges i deler. Grunnet rust i bunn."", ""PS MOTOR OG  GEAR SOLGT  speil og noen sm\u00e5ting"", ""Ta kontakt hvis du trenger deler til en 607.""]"
191932657,"[""ABS-bremser"", ""Beltevarsler"", ""Delskinn"", ""El.vinduer"", ""Lettmet. felg sommer"", ""Radio FM"", ""Sentrall\u00e5s""]"
190912497,"[""ABS-bremser"", ""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Lettmet. felg vinter"", ""Oppvarmede speil"", ""Radio FM"", ""Regulerbart ratt"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinninteri\u00f8r"", ""Skinnseter"", ""fine skjnnseter el""]"
142486773,"[""ABS-bremser"", ""Airbag foran"", ""Bagasjeromstrekk / hattehylle""]"
340968331,"[""ABS-bremser"", ""Antiskrens"", ""Antispinn"", ""Hengerfeste, avtagbart/svingbart"", ""Radio DAB+"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
340928492,[]
340871948,"[""AUX-inngang"", ""Air Condition"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, avtagbart/svingbart"", ""Klimaanlegg"", ""Radio DAB+"", ""Sommerhjul"", ""Vinterhjul""]"
340759278,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk"", ""CD-spiller"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektrisk sete m. memory"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Multifunksjonsratt"", ""M\u00f8rke ruter bak"", ""Navigasjonssystem"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter i helskinn"", ""Sideairbager"", ""Sommerhjul"", ""Startsperre"", ""Takrails"", ""Vinterhjul"", ""Xenonlys""]"
