,From,To,Similarity
0,-antispinn,antispinn,1.0
1,anti-spinn,antispinn,1.0
2,• multifunksjonsratt,multifunksjonsratt,1.0
3,- multifunksjonsratt,multifunksjonsratt,1.0
4,multifunksjonratt,multifunksjonsratt,0.733
5,mulitfunksjonsratt,multifunksjonsratt,0.633
6,multifunksjonelt ratt,multifunksjonsratt,0.767
7,m-sport multifunksjonsratt,multifunksjonsratt,0.906
8,abs- bremser,abs-bremser,0.749
9,-abs-bremser,abs-bremser,1.0
10,s-bremser,abs-bremser,0.768
11,bs bremser,abs-bremser,0.633
12,• airbag foran,airbag foran,1.0
13,- airbag foran,airbag foran,1.0
14,- elektriske speil,elektriske speil,1.0
15,-elektriske speil,elektriske speil,1.0
16,elektrisk speil,elektriske speil,0.929
17,elektriske sidespeil,elektriske speil,0.831
18,-el. vinduer,el.vinduer,0.755
19,- el.vinduer,el.vinduer,1.0
20,• el.vinduer,el.vinduer,1.0
21,• oppvarmede seter,oppvarmede seter,1.0
22,- oppvarmede seter,oppvarmede seter,1.0
23,• servostyring,servostyring,1.0
24,- servostyring,servostyring,1.0
25,- kjørecomputer,kjørecomputer,1.0
26,-kjørecomputer,kjørecomputer,1.0
27,kjørekomputer,kjørecomputer,0.692
28,med kjørecomputer,kjørecomputer,0.978
29,• sentrallås,sentrallås,1.0
30,- sentrallås,sentrallås,1.0
31,*regnsensor,regnsensor,1.0
32,regnsensor.,regnsensor,1.0
33,regensensor,regnsensor,0.611
34,regn sensor,regnsensor,0.811
35,anti-skrens,antiskrens,1.0
36,• antiskrens,antiskrens,1.0
37,-navigasjonssystem,navigasjonssystem,1.0
38,- navigasjonssystem,navigasjonssystem,1.0
39,-navigasjonsystem,navigasjonssystem,0.789
40,navigasjonsystem,navigasjonssystem,0.789
41,6um navigasjonssystem,navigasjonssystem,0.892
42,3ag ryggekamera,ryggekamera,0.89
43,3 ag ryggekamera,ryggekamera,1.0
44,3ag - ryggekamera,ryggekamera,0.89
45,metalliclakk,metallic lakk,0.834
46,- metallic lakk,metallic lakk,1.0
47,metallic-lakk,metallic lakk,0.834
48,il6 metallic lakk,metallic lakk,0.835
49,parkeringssensor bak,parkeringsensor bak,0.807
50,-parkeringsensor bak,parkeringsensor bak,1.0
51,"parkeringssensor, bak",parkeringsensor bak,0.807
52,parkerinssensor bak,parkeringsensor bak,0.702
53,• parkeringsensor bak,parkeringsensor bak,1.0
54,• startsperre,startsperre,1.0
55,- startsperre,startsperre,1.0
56,dab+radio,radio dab+,0.776
57,.dab+ radio,radio dab+,1.0
58,dab/radio,radio dab+,0.776
59,midtarmlene,midtarmlene,1.0
60,• midtarmlene,midtarmlene,1.0
61,midtarmelene,midtarmlene,0.719
62,midt armlene,midtarmlene,0.875
63,midtarmlen,midtarmlene,0.953
64,midtarmlenet,midtarmlene,0.939
65,- midt armlene,midtarmlene,0.875
66,-cruisekontroll,cruisekontroll,1.0
67,• cruisekontroll,cruisekontroll,1.0
68,cruisekontrol,cruisekontroll,0.965
69,cruisekontoll,cruisekontroll,0.773
70,handsfree opplegg,handsfree opplegg,1.0
71,• handsfree opplegg,handsfree opplegg,1.0
72,hands free opplegg,handsfree opplegg,0.87
73,handsfreeopplegg,handsfree opplegg,0.823
74,parkeringssensor foran,parkeringsensor foran,0.825
75,• parkeringsensor foran,parkeringsensor foran,1.0
76,"parkeringssensor, foran",parkeringsensor foran,0.825
77,parkerinssensor foran,parkeringsensor foran,0.731
78,-parkeringsensor foran,parkeringsensor foran,1.0
79,parkeringssensor forran,parkeringsensor foran,0.668
80,r01 sommerdekk,sommerdekk,0.857
81,"19"" sommerdekk",sommerdekk,1.0
82,bra sommerdekk,sommerdekk,0.939
83,beltevarsler,beltevarsler,1.0
84,- beltevarsler,beltevarsler,1.0
85,setebeltevarsler,beltevarsler,0.84
86,beltevarsel,beltevarsler,0.747
